PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1,IC50_1,Std.Err(IC50)_1,nH_1,Excluded_Points_first_point,% Activity at 100 uM_first_point,% Activity at 50 uM_first_point,% Activity at 25 uM_first_point,% Activity at 12.5 uM_first_point,% Activity at 6.25 uM_first_point,% Activity at 3.125 uM_first_point,IC50_Qualifier_2,IC50_2,Std.Err(IC50)_2,nH_2,Excluded_Points_second_point,% Activity at 100 uM_second_point,% Activity at 50 uM_second_point,% Activity at 25 uM_second_point,% Activity at 12.5 uM_second_point,% Activity at 6.25 uM_second_point,% Activity at 3.125 uM_second_point
1056,46500358,11957706,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=CC=C3.Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-5.51852,6.17652,0.686611,1.22919,2.68922,-2.07561,>,100,,,"0,0,0,0,0,0",-15.3534,3.08657,-12.2718,-1.67502,2.00303,-6.91378
1057,49671905,2822390,C1=CC=C(C=C1)C#CC2=CC(=CN=C2)C#N,Active,46,,,=,16.9,=,16.012,1.22,2.27,"0,0,0,0,0,0",89.7012,89.5779,77.5543,33.9911,12.0887,-1.02991,=,17.746,1.75,2.305,"0,0,0,0,0,0",91.342,86.9671,75.7729,24.6887,10.3204,9.33926
1058,49671488,729387,C1=CC=C(C=C1)OC2=CC=CC=C2NC(=O)C3=CC=CS3,Inactive,41,,,>,100,>,100,,,"1,1,0,0,0,0",,,-4.56162,0.982561,8.43464,7.99664,>,100,,,"1,1,0,0,0,0",,,-1.52591,0.47216,9.01917,7.23581
1059,49665569,781158,C1=CC(=CC=C1NC(=O)NC2=NC=C(C=C2)Br)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.56097,-6.87004,-14.0814,-10.9345,-8.02426,5.40113,>,100,,,"0,0,0,0,0,0",-19.9957,-11.2976,-18.0175,1.75452,1.80422,-8.95162
1060,49666249,3696989,COC1=CC=C(C=C1)S(=O)(=O)N2CC(OC3=CC=CC=C32)C(=O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",4.66816,-7.89601,0.00591768,4.89505,2.87666,3.29592,>,100,,,"0,0,0,0,0,0",-0.889715,6.82924,9.66531,4.90671,-11.1982,-10.3632
1061,49672547,4877658,CC1=CN=C(S1)NC(=O)CC(C)C2=CC=CC=C2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-1.63169,4.96214,-4.89703,-1.90791,-6.7122,-1.7402,>,100,,,"0,0,0,0,0,0",3.67506,-3.17607,-3.2556,-15.1248,-8.10666,-2.92756
1062,49648342,17584346,CC(C)C(CCNCC1=CC=CC=N1)C2=CC=C(C=C2)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.83096,-1.5429,-6.84045,-8.35967,16.5013,12.9933,>,100,,,"0,0,0,0,0,0",-12.57,-12.232,1.75452,-11.407,6.71293,2.68894
1063,49667612,2158353,C=CCNC(=O)C1=CC2=C(S1)N=C3C=CC=CN3C2=O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.90988,-8.95158,-0.655037,-5.20284,9.02063,-9.28698,>,100,,,"0,0,0,0,0,0",-7.20205,-8.19612,-9.64746,-12.0134,0.61133,0.621274
1064,49649778,20887558,C1=CC=C2C(=C1)C(=O)N(C3=C(S2)N=CC=C3)CCCC(=O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",17.8242,8.09528,8.54612,0.627415,-1.57249,-4.00917,>,100,,,"0,0,0,0,0,0",3.80428,3.77148,3.58459,11.1206,-12.7191,2.28137
1065,49667616,715522,CC1=CC=CC=C1C2=NC(=NO2)C3=CC=C(O3)Br,Active,52,,,=,39.7,=,27.917,8.28,1.142,"0,0,0,0,0,0",93.1866,71.2693,29.2894,21.2583,31.9422,17.3162,=,51.524,30.4,0.723,"0,0,0,0,0,0",79.106,19.8525,45.9449,32.1144,23.2562,5.49917
1066,49643158,862698,CCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)C3=CC=CO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",13.8032,17.4178,15.6046,6.70332,6.20317,3.95294,>,100,,,"0,0,0,0,0,0",16.5801,20.4321,10.9447,7.26364,1.22765,-2.56969
1067,49675094,2335622,COC1=CC(=CC(=C1OC)OC)CCC(=O)OCC(=O)NC2=C(C=C(C=C2)F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",5.54122,8.30936,2.84706,5.20975,2.36368,0.124299,>,100,,,"0,0,0,0,0,0",2.48019,1.96327,2.12232,7.28054,-2.04283,3.24761
1068,49715711,17253048,C1=CC(=CC(=C1)Cl)NC(=O)C2=NOC(=C2)C3=CC=CO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",27.2888,26.5568,14.0765,10.9404,11.628,-8.33994,>,100,,,"0,0,0,0,0,0",29.6203,26.3736,25.0555,5.32421,1.74457,3.59851
1069,47200575,5967725,CC1=CC(=C(C=C1)Cl)N/C=C/C(=O)C2=CC=CC=C2,Active,53,,,=,27.9,=,23.678,3.8,0.934,"0,0,0,0,0,0",78.2331,70.8875,53.8979,25.4608,21.7002,22.1609,=,32.106,9.39,1.236,"0,0,0,0,0,0",74.5124,58.8459,63.9614,5.3928,7.52807,13.9915
1070,47198683,2057881,C1COCCN1CCCCCOC2=CC=C(C=C2)Cl,Inactive,41,,,=,53.9,=,50.326,5.63,0.646,"0,0,0,0,0,0",60.5736,49.2771,39.6537,32.0812,15.577,16.1304,=,57.496,16.2,0.585,"0,0,0,0,0,0",66.0151,37.5977,38.6593,30.0298,20.103,19.3446
1071,49644428,740480,C1=CC(=CN=C1)C2=NN=C(O2)C3=CC=C(C=C3)Cl,Active,52,,,=,30.1,=,32.832,3.9,1.382,"0,0,0,0,0,0",76.9857,67.9257,51.789,22.9312,15.8584,16.5532,=,27.399,3.42,1.05,"0,0,0,0,0,0",76.8796,68.3167,40.7201,23.6584,-0.714233,8.85589
1072,47197752,23723819,COC1=CC=C(C=C1)CN2CCCC(C2)C(=O)C3=CC(=CC=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,1,0,0,0,0",1.6238,,25.736,0.321606,3.70532,2.78788,>,100,,,"0,0,0,0,0,0",6.58867,13.4229,0.710739,3.45636,-1.66509,2.37083
1073,47202908,684434,CCC1=C(N=C2C=C(NN2C1=O)C3=CC=CC=C3)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",10.4442,5.4179,9.82563,-0.428143,1.17,-9.36591,>,100,,,"0,0,0,0,0,0",0.780323,5.193,13.8802,11.8543,7.1215,3.30128
1074,49643040,5723165,C1=CC=C(C=C1)NC(=O)O/N=C/C2=CC=C(C=C2)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",43.0571,5.40508,22.5989,11.1525,-3.07199,13.4885,>,100,,,"0,0,0,0,0,0",37.6533,25.5495,18.7909,3.68202,0.173942,-3.58364
1075,47196104,259756,C1=CC=C(C=C1)C2=CN=C(O2)C3=CC=CC=C3Cl,Active,51,,,=,37.3,=,20.562,5.73,0.696,"0,0,0,0,0,0",73.3045,70.6162,47.3731,49.6223,16.3188,30.3805,=,53.97,29.4,0.628,"0,0,0,0,0,0",47.091,72.1088,27.986,28.161,14.7917,19.0821
1076,49644588,780357,C1=CC=C2C=C(C=CC2=C1)C(=O)NC3=NC=CS3,Active,52,,,=,20.8,=,21.358,3.48,0.598,"0,0,0,0,0,0",76.3216,58.327,66.1006,46.4121,15.0005,22.956,=,20.174,5.37,0.779,"0,0,0,0,0,0",67.2108,61.8472,57.9939,41.8447,36.4761,17.3902
1077,49727733,3160174,C1CC2CC1CC2NC(=O)CSC3=NN=C(O3)COC4=CC=C(C=C4)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.795124,5.26992,-1.72047,0.903646,0.874048,-4.96608,>,100,,,"0,0,0,0,0,0",-13.415,-6.96348,-20.9699,3.55179,-9.21007,-8.63351
1078,49717752,3277171,CC1=C(C(=CC=C1)N2C(=C3CS(=O)(=O)CC3=N2)NC(=O)C4CC4)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.15027,-5.0746,6.6323,-3.82173,-0.674775,-2.3617,>,100,,,"0,0,0,0,0,0",-0.19386,-2.83808,-4.01108,-2.12236,-5.36303,11.8552
1079,49719409,20940035,CC1=C(N(C2=C1C=C(C=C2)C(=O)NCCCN(C)C3CCCCC3)C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-3.14105,-10.8555,2.27489,-0.891801,-4.38404,2.89639,>,100,,,"0,0,0,0,0,0",0.949317,1.99308,2.97721,2.1422,-3.04685,-15.3137
1080,49719712,20940238,CC1=C(N(C2=C1C=C(C=C2)C(=O)N3CCN(CC3)C4=CC=CC=N4)CC5=CC=C(C=C5)F)C,Inactive,41,,,>,100,>,100,,,"1,1,1,1,1,0",,,,,,33.855,>,100,,,"1,1,1,1,0,0",,,,,37.1026,18.9042
1081,49723700,20912231,COC1=CC=CC(=C1)NC(=O)C2CCCN(C2)C3=NC=NC4=C3N=C5N4CCCCC5,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.56097,0.982561,1.47582,11.7158,4.78456,-7.17586,>,100,,,"0,0,0,0,0,0",3.74464,0.59145,-6.63544,8.72393,5.2427,0.55169
1082,49734794,16025780,CCN1C(=C(C2=C1C=CC(=C2)C(=O)N3CCN(CC3)C4=CC=CC=C4)C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",35.5163,27.5413,12.21,12.1114,2.90625,23.7502,>,100,,,"0,0,0,0,0,0",33.8132,16.9479,1.00896,11.7787,4.51305,-2.21182
1083,51089761,3369244,CC1=C(C2=C(C=C1)SC(=N2)NC(=O)C3=CC(=CC=C3)N4C(=O)CCC4=O)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",2.51165,8.9427,-5.47907,-11.4474,-8.12291,2.24529,>,100,,,"0,0,0,0,0,0",-3.68304,-12.5601,-23.3954,-1.51598,-6.21792,-0.0348112
1084,49816307,1328197,C1CCN(C1)CC(=O)NC2=C(C3=C(S2)CCC3)C(=O)NC4=CC=C(C=C4)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",13.7401,9.27614,0.874048,4.18279,2.02826,3.21799,>,100,,,"0,0,0,0,0,0",-8.49434,-8.26571,-16.9837,-4.21985,0.303176,-9.30947
1085,49732440,24793147,CC1=CC=CC=C1C(=O)NC2=CC=NN2C3CCN(CC3)CC4=CC=C(O4)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",3.88487,-4.4531,10.1817,-5.10419,6.32253,6.51293,>,100,,,"0,0,0,0,0,0",-3.02696,-16.0095,6.45746,-3.20589,3.41561,0.114303
1086,49721518,22513375,C1CC(=O)N(C1)C2=NN=C(S2)N3CCC(CC3)C(=O)NCC4=CC=C(C=C4)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-7.14626,-4.8773,2.08745,-6.48531,-12.8088,-7.5606,>,100,,,"0,0,0,0,0,0",1.56564,-3.54387,0.750499,-4.94552,1.13819,-5.26362
1087,47196164,817541,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC=NC=C3,Active,49,,,=,15.2,=,14.591,2.64,0.574,"0,0,0,0,0,0",68.0217,68.0276,65.7202,47.4412,37.9362,25.5614,=,15.822,11.3,0.317,"0,0,0,0,0,0",49.3605,67.5659,55.7424,58.9821,49.8993,21.8148
1088,47195327,823507,C1=CC(=CN=C1)C2=NN=C(O2)C3=CC=C(C=C3)Br,Active,52,,,=,25.1,=,21.702,3.23,0.794,"0,0,0,0,0,0",70.5344,71.8306,53.375,42.4139,19.9896,20.0892,=,28.52,10.1,0.694,"0,0,0,0,0,0",62.2884,70.2012,38.1951,43.9826,35.2944,3.34303
1089,47194977,4307612,C1=CC=C(C=C1)C(C(=O)O)OC2=CC3=CC=CC=C3C=C2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.69647,-4.73919,3.98352,4.51623,-5.61718,6.73391,>,100,,,"0,0,0,0,0,0",-18.7034,7.64637,-7.72891,-9.93574,-10.3135,2.52989
1090,47195336,901068,C1=CC=NC(=C1)C(=O)SC2=CC=C(C=C2)Cl,Active,44,,,=,44.5,=,45.458,2.17,4.849,"0,0,0,0,0,0",94.5201,62.0259,13.6804,-7.53009,-7.24182,-5.03498,=,43.526,2.93,3.598,"1,0,0,0,0,0",,61.3075,5.55898,-3.8316,-7.77763,0.084842
1091,47195522,24056,C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)C(=O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.795124,-5.41001,5.02922,8.04498,-5.26203,-2.67739,>,100,,,"0,0,0,0,0,0",-8.77268,7.71097,-1.11835,6.92566,7.30838,-0.9593
1092,56317284,24687627,CCCNC(=O)COC(=O)C1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)OCCO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-9.11929,-8.45832,-8.72468,-4.12755,13.6099,5.77502,>,100,,,"0,0,0,0,0,0",4.81227,-5.56183,-10.403,-2.30129,-9.19019,-5.701
1093,56323835,9409506,CC1=CC=C(S1)C(=O)N(C)CC(=O)NC2=CC=C(C=C2)N3CCOCC3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.459716,-11.4474,4.48762,-4.13742,-2.94374,-9.01076,>,100,,,"0,0,0,0,0,0",4.49417,13.9418,-2.49016,-0.1541,-0.521903,-4.48824
1094,56316109,16583100,CC1=C(N=C(S1)NC(=O)C2=COCCO2)C3=CC=C(C=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",0.804993,10.8664,11.7789,11.846,12.6224,2.30448,>,100,,,"0,0,0,0,0,0",3.71879,14.9935,11.736,15.1377,13.6277,13.0571
1095,57264439,441,CC(CC(=O)O)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-9.96768,-1.30614,-2.04602,2.44259,-16.4589,-1.86844,>,100,,,"0,0,0,0,0,0",-9.84628,-1.50603,-12.58,4.84707,-1.02888,3.22773
1096,85146462,12909391,C1CC2=CC=CC=C2C(=O)C3=C1C=CC(=C3)Br,Active,50,,,=,35.6,=,33.541,6.17,0.662,"1,0,0,0,0,0",,52.8798,50.6355,32.1769,27.2641,13.9423,=,37.687,6.47,0.671,"0,0,0,0,0,0",65.704,54.1619,39.0182,40.0272,25.0078,9.34225
1097,87335264,5825520,CC/C(=C\C1=CC=C(C=C1)Cl)/C2=CC=NC=C2,Active,53,,,=,13.5,=,12.524,1.62,1.376,"0,0,0,0,0,0",96.1776,93.2043,72.9365,44.0456,24.1014,24.1793,=,14.512,2.24,1.417,"0,0,0,0,0,0",96.0639,96.4625,64.4236,35.4694,28.1351,18.2322
1098,89855588,250620,C1C2=CC=CC=C2C3=CC(=C(C=C31)N)Cl,Inactive,41,,,=,52.5,=,49.569,5.66,1.102,"0,0,0,0,0,0",72.2973,43.2643,37.1144,15.2702,12.1479,3.29198,=,55.525,10,1.871,"0,0,0,0,0,0",82.4034,32.4822,32.5667,-2.00307,6.23578,-6.46644
1099,89854872,244206,C1=CSC(=C1)C=CC(=O)C2=CC=C(S2)Cl,Active,50,,,=,19.7,=,17.79,1.99,1.907,"0,0,0,0,0,0",96.8268,94.1228,60.4404,33.492,20.2501,-6.08084,=,21.543,6.05,1.472,"1,0,0,0,0,0",,88.3648,37.3531,47.0334,5.73675,8.1255
1100,89853989,255025,CC(=O)NC1=C(C2=C(C=C1)C3=CC=CC=C3C2)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-10.234,-11.1022,-12.2366,-5.6369,-2.7267,8.31429,>,100,,,"0,0,0,0,0,0",-9.04108,0.0347733,-4.9654,-3.48423,0.47216,-3.65323
1101,89851255,227530,CN1C2=NC(=NC(=C2C=N1)NCCC3=CC=CC=C3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",12.3442,24.6025,19.7371,19.2705,8.92987,2.14664,>,100,,,"0,0,0,0,0,0",26.3796,19.3635,21.6578,15.6486,11.3026,14.7311
1102,92764182,266705,C1CCC(C1)(C#N)NC2=CC=C(C=C2)C3=CC=C(C=C3)Cl,Active,44,,,=,26.1,=,22.046,1.38,5.36,"0,0,0,0,0,0",97.1602,96.666,63.396,-2.04602,-11.7533,0.439978,=,30.225,4.69,6.961,"0,0,0,0,0,0",97.2836,96.9794,21.1051,-1.40663,-20.1051,-1.74461
1103,92764050,299645,CC1=C(C(=O)CC2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)O,Active,52,,,=,35.7,=,38.836,9.82,0.899,"0,0,0,0,0,0",81.2294,55.5535,39.7041,22.3815,27.4333,18.7372,=,32.599,6.84,0.85,"0,0,0,0,0,0",81.5191,50.9758,29.4344,23.5361,27.6666,13.7746
1104,92763509,45280878,C1CCN(CC1)CC2=CC=C(C=C2)OCC3=CC=C(C=C3)[N+](=O)[O-],Active,63,,,=,3.46,<,3.13,,,"0,0,0,0,0,0",76.8204,70.5807,70.2601,68.5475,59.0346,45.7957,=,3.459,1.3,0.467,"0,0,0,0,0,0",78.7849,77.0215,72.2002,74.1327,51.0057,48.0503
1105,99358591,307139,CC1=CC=C(C=C1)C=CC2=CC=CC=N2,Active,52,,,=,33.9,=,32.797,3.48,1.375,"0,0,0,0,0,0",88.4089,56.4174,45.2472,17.9949,13.1423,2.6103,=,35.097,5.98,1.291,"0,0,0,0,0,0",87.1759,58.1043,36.6056,13.2738,21.5136,12.1773
1106,99454268,46942595,CC1=CC=CC=C1CNC(=O)C2=CC3=C(C=C2)SC(=N3)[C@H]4C[C@@H]([C@H](O4)CO)O,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-0.477469,17.5608,17.3517,3.25844,-1.95724,4.94635,>,100,,,"0,0,0,0,1,0",-5.58171,-2.2317,4.93653,1.44635,,4.33115
1107,103076789,49791432,CCCS(=O)(=O)NC(=O)C1(CCN(C1)C(=O)C2=CC=CC(=C2C)C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",8.94665,1.90002,2.87666,4.01509,-4.92662,-5.59745,>,100,,,"0,0,0,0,0,0",-18.4152,5.39976,0.144118,-8.216,0.313111,4.33711
1108,103162556,49795158,CC1(C2=C(C=CC(=C2)OC(F)(F)F)NC1=O)CC3=CC(=CC=C3)C(=O)OC,Inactive,41,,,=,88.5,>,100,,,"0,1,0,0,0,0",44.8348,,31.7804,26.9544,15.3659,8.63294,=,88.528,22.4,1.075,"0,0,0,0,0,0",50.9679,35.032,31.4752,-1.71479,5.34608,3.53887
1109,99454462,46942730,C1=CC(=CC=C1CNC(=O)C2=C3C(=C(C=C2)C4=CC(=C(C=C4)F)F)C=CO3)Cl,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",54.9584,43.801,21.5799,23.7354,29.9297,20.2658,>,100,,,"0,0,0,0,0,0",47.4002,43.8732,26.5695,14.7709,30.7525,23.0833
1110,103050384,49778249,C1=CC(=C(C=C1CNC(=O)C2=C3C(=C(C=C2)C4=CC(=C(C=C4)F)F)C=CO3)F)F,Active,75,,,<,3.13,<,3.13,,,"0,0,0,0,0,0",78.7559,78.4185,77.0946,76.3774,76.6911,69.1976,<,3.13,,,"0,0,0,0,0,0",79.6259,79.2005,78.1617,72.3106,73.2271,67.5718
1111,99494992,46948337,CCC1=C(N2C=CC=C(C2=N1)OCC3=CC=C(C=C3)C(F)(F)F)N(C)C(=O)C4=CC=NC=C4,Active,49,,,=,4.62,=,3.791,2.85,0.34,"0,0,0,0,0,0",64.5147,74.0286,68.7754,67.0924,60.5913,37.4784,=,5.445,1.63,0.505,"0,0,0,0,0,0",75.3803,74.5761,69.3512,67.7856,55.4124,35.4545
1112,99454141,46942513,CC1(C2=C(C=CC(=C2)C3=CN=CC=C3)NC1=O)CC4=CC=C(C=C4)Cl,Active,54,,,=,19.5,=,19.135,0.638,1.199,"0,0,0,0,0,1",87.2961,76.7957,56.5763,39.5264,19.3583,,=,19.81,2.41,0.99,"0,0,0,0,0,0",88.9344,71.3185,50.2025,40.7856,20.2929,20.8675
1113,103163471,49795746,CC1(C2=C(C=CC(=C2)C3=CC(=C(C=C3)F)Cl)NC1=O)CC4=CC(=CC=C4)C(F)(F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",40.1953,39.1673,27.569,30.8175,8.68818,5.17917,>,100,,,"0,0,0,0,0,0",19.3406,21.9709,9.24184,14.1466,9.58977,-0.710777
1114,121284664,51360047,CC1=CC(=CN2C1=NC(=C2CC3=C(C=C(C=C3)OC)C)C4=CC=CO4)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",10.1551,-2.87468,1.9888,15.7161,-0.812886,-3.13118,>,100,,,"0,0,0,0,0,0",11.0342,2.53983,13.4656,5.66518,0.273352,3.95141
1115,121285943,51361260,C1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)Br)CC4=CSC=C4,Inactive,41,,,>,100,>,100,,,"1,0,0,0,0,0",,50.016,24.8196,16.8614,7.80821,6.47051,>,100,,,"1,0,0,0,0,0",,46.8862,28.8906,29.3071,6.4326,9.49731
1116,124754391,53300391,C1CCCC(CC1)CN2[C@H](CN(C(=O)C2=O)[C@@H](CC3=CC=C(C=C3)O)CN4CCC[C@H]4CN5[C@H](CNC(=O)C5=O)CC6=CC=CC=C6)CC7=CC=CC=C7,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-0.181519,0.864179,5.59153,-3.35807,2.0184,0.489305,>,100,,,"0,0,0,0,0,0",-5.74077,4.42558,3.16609,5.13534,1.37677,12.6127
1117,858515,659824,CCN(CC)S(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C,Inactive,41,,,>,100,>,100,,,"1,0,0,0,0,0",,4.66404,-2.08195,12.5664,5.49812,5.23331,>,100,,,"1,1,1,0,0,0",,,,5.51309,-9.94814,14.0546
1118,56422676,661225,CCOC(=O)N1CCN(CC1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-6.61434,-3.32166,-4.07541,4.26734,-4.3531,-0.752988,>,100,,,"0,0,0,0,0,0",3.03606,-3.96739,-5.33299,-4.39601,-2.9706,-8.20375
1119,4243169,3237927,CC1CCC(CC1)C(=O)NC2=CC3=C(C=C2)N=C(C=C3C)N4CCOCC4,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.4289,-1.17945,6.50377,-4.10517,3.12283,-1.11994,>,100,,,"0,0,0,0,0,0",-5.15358,0.0297447,-11.8819,0.408517,-8.50279,-2.25291
1120,850812,653350,CCCC1(C2C(C(N1)C3=CC=C(C=C3)N(C)C)C(=O)N(C2=O)C4=CC=CC=C4)C(=O)OCC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",-12.079,-12.6344,-10.3533,6.08029,-5.53331,-5.91018,>,100,,,"0,0,0,0,0,0",-25.6077,-11.7025,-12.5298,-8.86164,-9.97805,-13.1279
1121,7973667,1731558,C=CCSC1=NN=C(O1)C2=C(C=C(C=C2)Cl)Cl,Active,54,,,=,7.91,=,8.514,1.31,1.253,"0,0,0,0,0,0",92.533,92.8181,91.0946,65.4292,49.3749,16.9593,=,7.312,0.675,1.55,"0,0,0,0,0,0",96.6673,95.2084,86.582,49.5207,41.5796,27.7395
1122,7976587,2057313,C1COC(O1)(CN2C=CC3=CC=CC=C32)C4=CC=CC=C4,Inactive,41,,,>,100,>,100,,,"1,1,0,0,0,0",,,9.11014,2.75489,3.56814,-2.39933,>,100,,,"1,1,0,0,0,0",,,3.31516,12.6451,7.406,8.91414
1123,4264615,946749,C1COCCN1C(=O)C2=CC=C(O2)C3=CC(=CC=C3)C(F)(F)F,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",18.1501,-2.30015,4.13642,1.68676,4.13939,-4.24401,>,100,,,"0,0,0,0,0,0",21.1338,4.74855,18.3099,-7.38639,2.78089,-8.89154
1124,7971439,3244006,CC1=CC2=CC=CC=C2N1CCNC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,Inactive,41,,,>,100,>,100,,,"1,0,0,0,0,0",,17.9071,17.3983,3.28251,-0.842246,19.0605,>,100,,,"0,0,0,1,0,0",31.1416,25.5018,18.7405,,16.1698,11.143
1125,4240874,3235923,CC1CC(CN(C1)C(=O)C2=CC3=C(O2)N=C4C=C(C=CC4=C3)C)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",20.084,19.966,-5.29528,-2.26048,1.63717,-10.5219,>,100,,,"1,0,0,0,0,0",,6.2577,-8.87161,6.10618,1.3156,-1.57509
1126,4240475,3235580,CCN1C(=O)/C(=C/N(C)C2=CC=CC=C2)/OC1=S,Inactive,41,,,=,76.6,=,79.225,21.8,0.658,"0,0,0,0,0,0",55.1354,46.9049,20.5347,26.2723,10.3246,6.84181,=,73.933,15.8,0.809,"0,0,0,0,0,0",56.0961,38.276,32.7221,28.4,6.78345,16.0237
1127,4264912,5739108,CC1=C(NC(=C1/C(=C\2/C(N(C(=O)C2=O)CCCN3CCOCC3)C4=CC=CC=N4)/O)C)C(=O)OC,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",1.68676,8.06283,16.5504,-2.31998,6.99966,3.01473,>,100,,,"0,0,0,0,0,0",15.1969,0.508198,13.0548,2.16288,6.18892,4.21726
1128,4240596,3235682,CC1=C(C=C(C=C1)F)NC(=O)CC2=NN(C(=O)C3=CC=CC=C32)C,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",3.0663,12.9175,-1.88361,-4.83907,-9.98634,2.58927,>,100,,,"0,0,0,0,0,0",-9.5594,-4.35614,-0.817528,8.23234,7.5306,8.027
1129,4258640,2945292,COC1=CC(=C(C=C1)OC)C(=O)C2CC(=O)OC2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",4.2237,12.2134,-7.01105,-0.148012,11.4309,10.45,>,100,,,"0,0,0,0,0,0",-10.297,4.50235,2.07317,-14.5932,3.82154,5.4164
1130,7975836,1354923,C1=CC=C(C(=C1)C2=NN=C(O2)C3=CC=C(C=C3)Br)Br,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",11.9565,54.3585,12.7509,37.2307,65.38,50.1217,>,100,,,"0,0,0,0,0,0",33.4851,34.3024,44.0251,27.6827,20.5975,54.0399
1131,844555,646882,CCCCCOC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=CO2,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",47.1662,18.2522,18.9326,14.8832,2.99688,-6.91187,>,100,,,"1,0,0,0,0,0",,28.6656,12.1039,1.73425,-9.85843,-2.83105
1132,852688,655323,CCCCOC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CO3,Inactive,41,,,>,100,>,100,,,"0,0,0,0,0,0",3.89542,-0.0785884,28.2304,8.27408,4.0422,-10.2045,>,100,,,"0,0,0,0,0,0",19.4253,26.9979,33.2349,11.9294,-1.50532,-1.3857
