PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_2.35uM_(%)_TEST1,Activity_at_4.6uM_(%)_TEST1,Activity_at_6uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_6uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_12uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2,ACTIVITY_OUTCOME_TEST3,ACTIVITY_SCORE_TEST3,ASSAYDATA_COMMENT_TEST3,AC50_Qualifier_TEST3,AC50_uM_TEST3,pAC50_M_TEST3,Hill_Slope_TEST3,S0_(%)_TEST3,Sinf_(%)_TEST3,Num_Points_TEST3,Max_Activity_(%)_TEST3,Max_Activity_Conc_uM_TEST3,Max_Concentration_uM_TEST3,Activity_at_0.15uM_(%)_TEST3,Activity_at_0.285uM_(%)_TEST3,Activity_at_0.3uM_(%)_TEST3,Activity_at_0.6uM_(%)_TEST3,Activity_at_1.2uM_(%)_TEST3,Activity_at_2.35uM_(%)_TEST3,Activity_at_4.6uM_(%)_TEST3,Activity_at_9uM_(%)_TEST3,Activity_at_18uM_(%)_TEST3,Activity_at_19.5uM_(%)_TEST3,ACTIVITY_OUTCOME_TEST4,ACTIVITY_SCORE_TEST4,ASSAYDATA_COMMENT_TEST4,AC50_Qualifier_TEST4,AC50_uM_TEST4,pAC50_M_TEST4,Hill_Slope_TEST4,S0_(%)_TEST4,Sinf_(%)_TEST4,Num_Points_TEST4,Max_Activity_(%)_TEST4,Max_Activity_Conc_uM_TEST4,Max_Concentration_uM_TEST4,Activity_at_0.15uM_(%)_TEST4,Activity_at_0.285uM_(%)_TEST4,Activity_at_0.3uM_(%)_TEST4,Activity_at_0.6uM_(%)_TEST4,Activity_at_1.2uM_(%)_TEST4,Activity_at_2.35uM_(%)_TEST4,Activity_at_4.6uM_(%)_TEST4,Activity_at_9uM_(%)_TEST4,Activity_at_18uM_(%)_TEST4,Activity_at_19.5uM_(%)_TEST4,ACTIVITY_OUTCOME_TEST5,ACTIVITY_SCORE_TEST5,ASSAYDATA_COMMENT_TEST5,AC50_Qualifier_TEST5,AC50_uM_TEST5,pAC50_M_TEST5,Hill_Slope_TEST5,S0_(%)_TEST5,Sinf_(%)_TEST5,Num_Points_TEST5,Max_Activity_(%)_TEST5,Max_Activity_Conc_uM_TEST5,Max_Concentration_uM_TEST5,Activity_at_0.15uM_(%)_TEST5,Activity_at_0.285uM_(%)_TEST5,Activity_at_0.3uM_(%)_TEST5,Activity_at_0.6uM_(%)_TEST5,Activity_at_1.2uM_(%)_TEST5,Activity_at_2.35uM_(%)_TEST5,Activity_at_4.6uM_(%)_TEST5,Activity_at_9uM_(%)_TEST5,Activity_at_18uM_(%)_TEST5,Activity_at_19.5uM_(%)_TEST5,ACTIVITY_OUTCOME_TEST6,ACTIVITY_SCORE_TEST6,ASSAYDATA_COMMENT_TEST6,AC50_Qualifier_TEST6,AC50_uM_TEST6,pAC50_M_TEST6,Hill_Slope_TEST6,S0_(%)_TEST6,Sinf_(%)_TEST6,Num_Points_TEST6,Max_Activity_(%)_TEST6,Max_Activity_Conc_uM_TEST6,Max_Concentration_uM_TEST6,Activity_at_0.15uM_(%)_TEST6,Activity_at_0.285uM_(%)_TEST6,Activity_at_0.3uM_(%)_TEST6,Activity_at_0.6uM_(%)_TEST6,Activity_at_1.2uM_(%)_TEST6,Activity_at_2.35uM_(%)_TEST6,Activity_at_4.6uM_(%)_TEST6,Activity_at_9uM_(%)_TEST6,Activity_at_18uM_(%)_TEST6,Activity_at_19.5uM_(%)_TEST6
6,51086596,16807581,CCN(CC)CCNC(=O)C(=O)NCC1N(CCO1)S(=O)(=O)C2=CC=CS2,Active,45,,,=,29.25,4.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,25.85,4.588,1.2,-8.074,-100,7,-43.857,18,18,-11.304,-6.826,,-10.056,-7.377,,-18.34,-28.86,-43.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,32.65,4.486,1.2,-2.662,-100,8,-37.742,18,18,-7.459,-1.398,,-0.109,-5.273,-5.94,-14.774,-12.952,-37.742,
7,57261644,3311060,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCCCN,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.03828,4.03828,7,14.273,4.6,18,,12.093,,5.709,7.835,4.129,14.273,-12.513,-3.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-8.61688,-8.61688,8,-22.137,9,18,-0.489,-1.734,,3.414,-3.588,-6.873,-17.777,-22.137,-19.751,
8,103163577,49795827,CN1C(=O)C2=C(C=C(S2)C3=CSC=C3)N=C1NCCCN(C)C,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,7,-53.935,0.285,18,,-53.935,,-48.147,-43.38,-31.782,-32.704,-36.876,-45.199,,2,50,,=,9.55,5.020,0.8,5.943,-100,7,-59.425,18,18,3.475,-2.127,,,-8.794,-22.619,-34.744,-43.143,-59.425,,2,48,,=,14.39,4.842,1.2,3.003,-100,8,-59.785,18,18,-2.893,5.84,,-5.121,-4.026,2.698,-12.208,-36.649,-59.785,,2,48,,=,17.3,4.762,1.2,-5.08,-100,8,-59.112,18,18,-10.83,-8.205,,-1.148,-10.317,-8.775,-18.901,-30.655,-59.112,
9,87349609,16193982,CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=CC(=C2)C)C(C)(C)CC.[Br-],Active,51,,,=,7.32,5.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.29,4.947,0.8,0,-100,8,-47.118,18,18,-2.174,1.702,,-7.234,-23.574,-33.847,-43.813,-38.365,-47.118,,2,53,,=,5.17,5.287,0.8,12.334,-100,8,-70.122,18,18,6.789,1.494,,-6.336,-13.54,-24.317,-47.506,-51.063,-70.122,,2,53,,=,5.49,5.260,0.8,5.188,-100,8,-70.684,18,18,-3.327,0.7,,-10.666,-22.888,-24.066,-50.349,-54.26,-70.684,,,,,,,,,,,,,,,,,,,,,,,,
10,103159660,49792778,C1=CN=C(N=C1)NC2=NC(=CS2)C(CC3=CC=C(C=C3)N)N,Active,47,,,=,19.24,4.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,21.42,4.669,1.2,5.431,-100,8,-45.131,18,18,1.241,2.565,,8.574,3.167,-2.24,-6.823,-18.586,-45.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,17.06,4.768,1.039,10.098,-100,8,-49.659,18,18,14.64,8.141,,3.55,0.706,-3.363,-12.14,-22.505,-49.659,
11,103075357,49790438,CC(=O)C1=CC=C(C=C1)NC2=NC(=CS2)C(CC3=CC=C(C=C3)N)N,Active,45,,,=,30.41,4.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,29.16,4.535,1.163,10.207,-100,8,-30.438,18,18,10.098,11.209,,8.62,4.375,8.258,-4.438,-10.109,-30.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,31.65,4.500,1.04,12.313,-100,8,-24.015,18,18,3.04,13.307,,17.147,9.345,4.937,4.668,-20.885,-24.015,
12,103076841,49791467,C1=CC=C(C=C1)C(C2=CSC(=N2)NC3=CC=C(C=C3)C(=O)C4=CC=CC=C4)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.94658,3.94658,8,13.48,18,18,-9.095,3.677,,-3.123,0.709,7.528,11.12,7.277,13.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,15.2394,15.2394,8,42.427,18,18,-2.601,-5.044,,12.078,17.163,1.351,28.264,28.276,42.427,
13,103076710,49791368,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=CC=C3)C(F)(F)F)C4=CC(=CC=C4)C(=O)NCCN(C)C,Active,54,,,=,3.93,5.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.93,5.406,0.962,12.095,-100,8,-76.175,18,18,5.182,4.11,,-2.247,-10.868,-33.766,-50.318,-65.002,-76.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,99455990,46943545,CN1C(=O)C2=C(C=C(S2)C3=CC(=C(C=C3)OC)OC)N=C1NCCCN(C)C,Active,53,,,=,4.79,5.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.41,5.193,1.2,8.062,-100,8,-78.575,18,18,8.612,6.226,,-2,-0.385,-19.089,-34.06,-55.298,-78.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.17,5.499,1.157,10.184,-100,8,-87.76,18,18,13.378,-3.72,,-5.984,-11.749,-36.852,-57.658,-73.574,-87.76,
15,49721247,20892039,CC1=CC=CC=C1CN2C3=CC=CC=C3C4=C2C(=O)N(N=C4)CC(=O)NCCCN5CCN(CC5)C,Active,50,,,=,9.43,5.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,20.5,4.688,0.812,3.919,-100,8,-43.656,18,18,2.017,-2.476,,2.643,-6.732,-10.164,-19.71,-34.033,-43.656,,2,53,,=,4.94,5.306,0.8,7.792,-100,8,-71.829,18,18,7.211,-5,,-16.688,-15.322,-31.088,-40.758,-60.897,-71.829,,2,55,,=,2.85,5.545,0.962,12.08,-100,8,-82.02,18,18,6.456,0.974,,-10.979,-19.577,-36.979,-60.055,-72.188,-82.02,,,,,,,,,,,,,,,,,,,,,,,,
16,49648272,5579287,CC1=CC=C(C=C1)C2=C3C(=CC(=N2)C(=O)NCCCN(C)C)C4=CC=CC=C4N3,Active,56,,,=,2.77,5.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.46,5.351,1.187,9.075,-100,8,-82.843,18,18,6.16,5.151,,-2.302,-2.984,-29.328,-49.285,-63.605,-82.843,,2,57,,=,1.98,5.703,0.866,0.302,-100,8,-91.734,18,18,-9.202,-13.177,,-30.812,-37.475,-54.055,-65.057,-76.829,-91.734,,2,58,,=,1.76,5.754,1.018,-15,-100,8,-99.895,18,18,-18.355,-32.475,,-36.939,-49.62,-60.746,-75.974,-85.652,-99.895,,2,55,,=,2.9,5.538,1.043,18.333,-100,8,-91.957,18,18,18.492,7.707,,-7.855,-16.891,-30.41,-50.346,-72.492,-91.957,
17,49647792,4970781,CN(C)CCCN1C=NC2=C(C1=N)C(C3=C(O2)C4=CC=CC=C4C=C3)C5=CC=C(C=C5)OC,Active,56,,,=,2.33,5.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.13,5.384,1.083,16.095,-100,8,-80.341,18,18,12.268,10.959,,2.357,-6.633,-25.261,-46.3,-64.332,-80.341,,2,58,,=,1.48,5.830,0.953,2.019,-103.349,8,-98.163,18,18,-6.024,-23.493,,-22.571,-43.631,-70.24,-74.313,-81.756,-98.163,,2,59,,=,1.37,5.863,1.107,0,-100.453,8,-96.737,18,18,-2.685,-12.988,,-32.666,-48.952,-63.841,-75.642,-90.187,-96.737,,,,,,,,,,,,,,,,,,,,,,,,
18,85305234,12004742,CC/C(=C\C1=[N+](C2=C(S1)C=CC(=C2)OC)CCO)/C=C\3/N(C4=C(S3)C=CC(=C4)OC)CCO.[Cl-],Active,58,,,=,1.77,5.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.27,5.644,1.2,9.811,-100,8,-97.542,18,18,4.598,-1.672,,-5.157,-20.469,-40.774,-71.977,-91.924,-97.542,,2,58,,=,1.55,5.810,0.876,-10,-100,8,-88.959,9,18,-23.439,-32.775,,-40.459,-31.968,-69.182,-80.77,-88.959,-84.147,,2,61,,=,0.877,6.057,0.839,0,-100.867,8,-93.892,9,18,-14.315,-30.099,,-52.552,-45.466,-70.674,-82.357,-93.892,-89.25,,2,56,,=,2.38,5.623,1.2,-2.595,-105.142,8,-93.515,18,18,-4.575,-17.782,,-6.999,-42.042,-46.19,-77.072,-92.271,-93.515,
19,24821752,3600945,CC1=C2CCN(C2=C3C=CC=C(C3=N1)OC)C4=CC=C(C=C4)OC,Active,49,,,=,12.3,4.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,27.39,4.562,1.2,-1.874,-100,8,-39.748,18,18,-3.295,2.765,,-6.65,-5.685,-9.698,-5.054,-23.492,-39.748,,2,53,,=,4.97,5.304,0.8,1.617,-100,8,-75.407,18,18,-3.92,-5.809,,-16.052,-27.223,-30.05,-48.733,-58.837,-75.407,,2,52,,=,5.9,5.229,1.053,1.968,-100,8,-79.108,18,18,7.878,-13.647,,-2.626,-13.581,-27.877,-42.161,-56.744,-79.108,,2,50,,=,10.93,4.961,0.949,-8.544,-100,8,-71.316,18,18,-12.672,-6.493,,-14.466,-18.154,-29.259,-41.205,-38.208,-71.316,
20,56463615,11497466,CC1=C(C=CC(=C1)C2=NOC(=N2)C)C3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)OC)N5CCN(CC5)C.Cl,Active,51,,,=,7.71,5.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.71,5.113,1.2,3.091,-100,8,-88.144,18,18,-5.913,-2.613,,1.725,-5.866,-5.741,-19.199,-60.856,-88.144,,2,53,,=,5.02,5.299,1.2,15,-100,8,-95.433,18,18,19.539,5.803,,-4.26,13.515,-13.586,-33.275,-68.022,-95.433,,2,52,,=,5.94,5.226,1.2,4.592,-100,8,-99.784,18,18,-2.533,-7.341,,-0.753,3.286,-12.759,-26.223,-70.835,-99.784,,2,49,,=,12.15,4.915,1.2,6.267,-100,8,-59.745,18,18,-5.219,6.946,,2.17,9.84,-2.31,-16.083,-42.713,-59.745,
21,24841719,16197203,C1CCC(CC1)CCCCN2[C@H](CNC2=S)CCCCN,Active,50,,,=,10.87,4.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.51,5.186,1.2,3.722,-100,8,-81.048,18,18,3.626,2.871,,-3.039,-13.511,-13.458,-36.859,-57.804,-81.048,,2,49,,=,12.28,4.911,1.2,11.609,-100,8,-71.081,18,18,12.052,11.066,,5.559,5.697,-5.669,-7.978,-22.736,-71.081,,2,47,,=,18.68,4.729,1.2,1.3,-100,8,-49.149,18,18,8.873,-5.629,,-3.593,-0.112,-7.551,-14.605,-26.935,-49.149,,2,52,,=,6.01,5.221,1.2,3.264,-100,8,-75.677,18,18,0.178,0.382,,-2.584,-12.799,-11.179,-37.581,-72.2,-75.677,
22,49677218,16806969,C[N+](C)(C)CC(=O)N/N=C/C1=C2C=CC=CC2=CC3=CC=CC=C31.[Cl-],Active,54,,,=,4.16,5.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6,5.222,1.2,3.024,-100,8,-89.508,18,18,4.302,-5.709,,-2.506,-3.753,-24.937,-36.134,-57.586,-89.508,,2,56,,=,2.32,5.635,1.19,-9.637,-99.637,8,-89.361,18,18,-19.599,-11.046,,-27.547,-35.812,-52.642,-76.747,-83.135,-89.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,47204343,1132695,COC1=C(C=C(C=C1)N)NC(=O)CN2CCCC2,Active,50,,,=,9.95,5.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.65,4.934,0.8,3.896,-100,8,-55.203,18,18,-0.738,0.758,,-4.335,-11.002,-22.867,-23.853,-46.954,-55.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.24,5.084,0.8,15.42,-100,8,-58.11,18,18,9.563,13.217,,4.279,-13.95,-11.607,-34.139,-40.718,-58.11,
24,24841722,16197208,C1[C@@H](N(C(=S)N1)CCC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)CCCCN,Active,48,,,=,17.41,4.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,20.36,4.691,1.2,-1.857,-100,8,-56.06,18,18,0.865,-9.534,,-5.047,-1.353,-10.345,-15.069,-16.804,-56.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.45,4.840,1.2,5.766,-100,8,-68.887,18,18,2.792,11.355,,2.327,-1.467,-9.38,-16.609,-13.48,-68.887,
25,49648873,4869315,CN(C)CCCNC(=O)C(=O)C1=C(C(=C2N1C=CC3=CC(=C(C=C32)OC)OC)C4=CC(=C(C=C4)OC)OC)C5=CC=CC=C5,Active,55,,,=,3.15,5.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,4.92,5.308,1.2,-18.671,-100,8,-90.474,18,18,-12.374,-24.62,,-35.411,-23.545,-42.637,-52.985,-76.999,-90.474,,2,57,,=,2.01,5.697,1.2,2.211,-100,8,-101.772,18,18,2.775,-15.206,,-19.317,-22.558,-46.503,-80.323,-97.657,-101.772,,2,55,,=,2.97,5.527,1.2,-7.178,-100,8,-97.451,18,18,-14.373,-15.65,,-14.293,-24.633,-40.654,-70.269,-87.755,-97.451,,2,56,,=,2.72,5.565,1.2,13.699,-100,8,-98.434,18,18,9.4,1.043,,3.505,-12.656,-33.808,-61.871,-86.902,-98.434,
26,24841738,16197232,C1CCC(CC1)CN2[C@H](CNC2=S)CCCCN,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.8,-8.139,-100,8,-29.563,18,18,-6.747,-9.525,,-10.3,-13.491,-12.247,-18.71,-25.731,-29.563,,1,0,,>,36,4.444,1.2,-7.123,-100,8,-28.036,18,18,-12.61,-11.551,,-4.42,-4.431,-2.237,-15.922,-20.187,-28.036,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.94,4.923,0.8,1.249,-100,8,-51.003,9,18,4.204,-9.663,,4.254,-22.396,-26.218,-28.731,-51.003,-48.173,
27,24826835,16195976,CCN(CC)CCNC(=O)C1=CC(=NC2=CC=CC=C21)C3=CC=CO3.Cl,Active,49,,,=,11.66,4.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,14.17,4.849,0.8,6.511,-100,8,-48.505,18,18,3.212,0.524,,5.939,-8.106,-19.869,-28.333,-34.514,-48.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.15,5.039,0.8,10.984,-100,8,-56.205,18,18,-1.834,9.838,,-0.698,-1.928,-22.957,-35.243,-42.729,-56.205,
28,49726259,24792361,C[N+]1=CC=C(C=C1)/C=C/C2=CC(=C(C=C2)OCC(=O)NC3=CC(=C(C=C3)Cl)Cl)OC.[I-],Active,51,,,=,8.27,5.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.52,5.070,1.2,-2.228,-100,8,-76.485,18,18,-5.708,-0.523,,-7.321,-11.725,-17.077,-31.285,-51.868,-76.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.03,5.095,1.051,-5.594,-100,8,-70.725,18,18,-6.084,-9.436,,-13.99,-12.232,-27.716,-39.264,-56.656,-70.725,
29,24828037,16196031,C1=CC=C(C(=C1)OCCN)OCCN.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.14075,-1.14075,8,-4.33,18,18,-3.7,,-1.551,3.009,2.29,-0.024,-4.251,-0.569,-4.33,,1,0,,,,,,12.7457,12.7457,8,18.769,1.2,18,17.287,,5.97,12.945,18.769,12.433,17,12.048,5.514,,1,0,,,,,,-4.09583,-4.09583,8,-10.138,0.3,18,-6.467,,-10.138,-7.646,-2.735,-9.033,6.385,2.732,-5.865,,1,0,,,,,,-0.269217,-0.269217,8,13.473,1.2,18,2.762,,-0.007,1.363,13.473,4.727,-5.431,-9.838,-9.203,
30,24786443,16189174,CC1=CC(=NC2=C1C=C(C=C2)NC(=S)N3CCN(CC3)C4=CC=C(C=C4)Cl)N5CCN(CC5)C,Active,55,,,=,3.07,5.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.18,5.662,1.2,19.87,-75.747,8,-66.018,18,18,11.204,12.691,,10.884,-11.56,-27.785,-56.526,-60.946,-66.018,,2,54,,=,3.73,5.428,1.079,7.689,-100,8,-77.12,18,18,-7.59,5.674,,10.058,-22.495,-31.968,-61.975,-65.885,-77.12,,2,54,,=,3.65,5.438,1.192,6.36,-100,8,-86.838,9,18,2.244,5.672,,-5.095,-19.654,-36.062,-41.044,-86.838,-80.964,,2,56,,=,2.73,5.564,1.2,15.572,-100,8,-95.189,18,18,11.515,8.124,,0.986,-15.198,-34.847,-57.287,-83.754,-95.189,
31,8139974,5458180,C(CNCCNCCN)N.Cl,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,0.8,-0.015,-100,8,-25.867,4.6,18,12.343,,1.527,-0.885,-5.745,-19.737,-25.867,-24.277,-15.316,,1,0,,,,,,9.72042,9.72042,7,23.234,4.6,18,4.861,,5.215,5.08,6.065,4.994,23.234,,18.594,,1,0,,,,,,29.348,29.348,8,45.19,4.6,18,22.6,,33.243,35.926,38.728,36.497,45.19,16.776,5.824,,2,46,,=,26.1,4.583,0.8,4.455,-100,8,-35.168,9,18,9.522,,9.107,-2.839,-8.476,-13.085,-24.156,-35.168,-26.412,
32,49677685,7384471,CCN(CC)CCNC(=O)C(=O)NC1=CC2=C3C(=C1)CC(=O)N3CCC2,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,1.2,-5.752,-100,7,-31.006,18,18,-4.341,-6.263,,-6.481,-13.726,-3.216,-10.592,,-31.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,34.48,4.462,0.8,-3.402,-100,8,-39.666,18,18,-3.884,-6.525,,-3.435,-13.154,-13.88,-20.198,-26.68,-39.666,
33,121282512,51358832,C[C@H]1CN(C(=O)CCCN2C(=CN=N2)CO[C@@H]1CN(C)C(=O)NC3=CC=C(C=C3)N4CCN(CC4)C)[C@@H](C)CO,Active,46,,,=,28.23,4.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,32.8,4.484,1.2,-3.868,-100,8,-36.431,18,18,-10.919,,-4.647,2.578,-4.781,-13.024,-5.307,-21.107,-36.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,23.66,4.626,1.2,0.422,-100,8,-42.347,18,18,-13.366,,-0.249,3.599,1.204,3.354,-10.548,-26.293,-42.347,
34,24808718,3221615,CC1=CC(=C2C(=C1)C=C(C(=N2)NCCCNC(=S)NCCCN(C)C)C#N)C,Active,51,,,=,7.63,5.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,13.2,4.879,1.088,7.63,-100,8,-56.419,18,18,7.753,9.728,,-4.433,4.026,-5.106,-21.671,-32.192,-56.419,,2,50,,=,9.12,5.040,1.015,-10,-100,8,-73.224,18,18,-16.124,-14.847,,-16.426,-20.978,-29.787,-37.024,-52.991,-73.224,,2,53,,=,4.63,5.334,1.081,15,-100,8,-80.179,18,18,17.416,16.201,,-6.073,-7.059,-19.156,-41.183,-62.2,-80.179,,2,54,,=,3.56,5.449,1.2,1.383,-100,8,-87.323,18,18,-5.546,0.655,,-7.531,-20.114,-36.306,-61.224,-71.552,-87.323,
35,855926,6240,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,36,4.444,1.18,1.85,-100,8,-24.723,18,18,0.846,-2.719,,1.854,0.93,6.179,-7.138,-17.097,-24.723,,2,47,,=,20.27,4.693,1.2,0.478,-100,8,-47.757,18,18,4.714,-5.085,,1.664,-7.291,-4.178,-14.453,-24.752,-47.757,,2,46,,=,23.65,4.626,1.2,3.454,-100,8,-42.151,18,18,2.684,6.926,,-5.201,3.012,-5.385,-2.065,-20.922,-42.151,,,,,,,,,,,,,,,,,,,,,,,,
36,24810272,16193050,CCCCN(CC)CCCNC(=S)NC1=CC2=C(C=C1)N=C(C=C2C)N3CCN(CC3)C,Active,57,,,=,1.95,5.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,,=,2.38,5.623,1.149,14.536,-105.464,8,-96.39,18,18,9.377,5.499,,-6.38,-21.736,-45.755,-68.519,-81.196,-96.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.52,5.818,1.155,3.267,-97.221,8,-89.516,9,18,-3.254,-7.637,,-25.844,-39.32,-56.264,-76.741,-89.516,-88.81,
