PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Qualifier,IC50,Std.Err(IC50),nH,Excluded_Points_first_point,% Activity at 80 uM_first_point,% Activity at 40 uM_first_point,% Activity at 20 uM_first_point,% Activity at 10 uM_first_point,% Activity at 5 uM_first_point,% Activity at 2.5 uM_first_point,% Activity at 1.25 uM_first_point,% Activity at 0.625 uM_first_point,% Activity at 0.3125 uM_first_point,% Activity at 0.15625 uM_first_point,Excluded_Points_second_point,% Activity at 80 uM_second_point,% Activity at 40 uM_second_point,% Activity at 20 uM_second_point,% Activity at 10 uM_second_point,% Activity at 5 uM_second_point,% Activity at 2.5 uM_second_point,% Activity at 1.25 uM_second_point,% Activity at 0.625 uM_second_point,% Activity at 0.3125 uM_second_point,% Activity at 0.15625 uM_second_point
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, IC50. If the qualifier is =, the IC50 result equals the value in that column. If the qualifier is >, the IC50 result is greater than that value. If the qualifier is <, the IC50 result is smaller than that value",IC50 value determined using a sigmoidal dose response equation,Standard Error of the IC50 value,Hill coefficient determined using sigmoidal dose response equation,Flags to indicate which of the first dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,Flags to indicate which of the second dose-response points were excluded from analysis. (1) means the titration point was excluded and (0) means the point was not excluded.,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration,% Activity at the test concentration
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
54,57265698,25163032,C1=C(C(=CC2=C1N=C(C(=N2)[O-])[O-])[N+](=O)[O-])C#N.[Na+],Active,55,,,=,14.8,1.7,1,"0,0,0,0,0,0,0,0,0,0",81.9668,72.7305,60.4424,35.2937,29.2741,-2.42507,15.3864,-5.7173,5.07662,-6.61092,"0,0,0,0,0,0,0,0,0,0",81.8487,67.5126,61.3629,44.6967,36.1669,11.5997,-5.01902,15.0859,4.96648,6.54018
55,57266817,2466657,C1=CC=C(C=C1)CCNC(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active,49,,,=,5.26,0.494,2.02,"0,0,0,0,0,0,0,0,0,0",94.2953,90.9422,85.0001,73.6117,58.5774,5.71797,10.2797,3.35142,12.2365,11.4132,"0,0,0,0,0,0,0,0,0,0",96.0341,90.6336,87.7027,75.2995,63.1148,2.55944,1.31439,-6.93911,9.13909,3.5655
56,85201591,44202675,C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)NC3=C(ON=C3C)C)O[C@@H]1CN(C)C(=O)NC4CCCCC4)[C@H](C)CO,Active,44,,,=,4.3,0.27,3.518,"0,0,0,0,0,0,0,0,0,0",95.6739,97.4276,87.0893,79.4276,70.0005,3.75442,2.41033,1.13111,-1.54276,3.3336,"0,0,0,0,0,0,0,0,0,0",92.6699,90.7973,85.8385,86.7102,67.3912,8.09753,5.96758,11.8114,2.31988,3.57815
57,85198895,4784709,CC1=CC=C(C=C1)OCCNC(=O)CNC(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-],Active,56,,,=,9.71,0.813,1.089,"0,0,0,0,0,0,0,0,0,0",86.154,79.3263,71.0016,57.2047,36.1751,8.40551,7.08456,14.5534,0.301213,1.93447,"0,0,0,0,0,0,0,0,0,0",84.9923,79.0846,68.6881,53.7949,40.0562,3.79816,12.9543,3.31199,1.45507,-2.42183
58,85302014,44263652,CC(C)(C)NC(=O)CC1C[C@@H]([C@]2(C3=C(CCN2C1=O)C4=CC=CC=C4N3)CCC5CCCC5)C(=O)N6CCOCC6,Active,44,,,=,4.15,0.352,5.663,"0,0,0,0,0,0,0,0,0,0",97.6912,94.2489,91.4399,83.3481,72.3898,1.11188,18.1586,8.63262,18.3506,7.73758,"0,0,0,0,0,0,0,0,0,0",97.3284,96.2293,93.4064,86.6393,78.0384,4.9793,-2.48834,4.36053,12.9628,18.6133
59,85269859,4990931,C1=CC=C(C(=C1)C=NNC2=C(C=C(C=C2)[N+](=O)[O-])S(=O)(=O)NC3=CC=C(C=C3)Cl)OCC(=O)O,Active,53,,,=,12.5,1.37,1.438,"0,0,0,0,0,0,0,0,0,0",90.6302,81.9253,72.5846,41.9405,30.8685,3.31458,-4.43846,11.5996,-2.65256,14.8575,"0,0,0,0,0,0,0,0,0,0",89.7841,79.2626,62.0655,47.8374,23.868,-11.7563,0.769146,-4.94475,18.4718,-5.93358
60,87349267,44602128,COCCCNC(=O)C[C@H]1C[C@@H]([C@]2(C3=C(CCN2C1=O)C4=C(N3)C=C(C=C4)C5=CC=CO5)CCC6CCCC6)C(=O)N7CCOCC7,Active,56,,,=,9.08,0.873,1.111,"0,0,0,0,0,0,0,0,0,0",91.8644,81.8338,75.6976,48.0904,43.563,1.5014,16.6983,1.57165,14.4036,0.421148,"0,0,0,0,0,0,0,0,0,0",90.3849,86.164,67.2089,57.4708,32.0404,13.4328,17.043,7.25959,5.28288,9.65763
61,57257466,25161658,C1CCC(CC1)NC(=O)NC(=O)CN2CCN(CC2)S(=O)(=O)C3=CC(=C(C=C3)Cl)C(F)(F)F,Inactive,41,,,=,37.1,16.3,0.506,"0,0,0,0,0,0,0,0,0,0",40.5771,50.0241,44.1212,46.4308,55.7186,19.1616,8.3904,-2.18142,2.32592,4.09696,"0,0,0,0,0,0,0,0,0,0",45.9064,51.0595,42.4331,50.2996,55.557,6.22825,-0.0348,-6.34228,-7.79213,5.36299
62,93577130,270779,C1=CC=C(C=C1)NSC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],Active,55,,,=,9.38,0.789,1.359,"0,0,0,0,0,0,0,0,0,0",98.3046,90.0786,68.3535,54.6684,34.4723,15.2599,5.30671,10.6865,-10.4207,2.2395,"0,0,0,0,0,0,0,0,0,0",99.5811,88.1929,72.9831,45.1631,35.4659,10.5135,8.18786,-15.3813,2.21403,11.0188
63,99356808,46902724,C1CCC(CC1)CN2C[C@@H]([C@H](C[C@@H]2C3=CC=C(C=C3)Cl)O)N4C=C(N=N4)C5CC5,Active,55,,,=,13.1,1.65,1.196,"0,0,0,0,0,0,0,0,0,0",79.4649,75.4988,60.7644,57.26,25.2573,0.923717,-7.70148,-4.85181,-2.57456,-6.22147,"0,0,0,0,0,0,0,0,0,0",78.8015,79.9123,62.7643,45.8751,34.9502,-7.96737,5.78237,3.84976,2.75878,13.743
64,121284964,51360325,CC1=C(C(=CC=C1)C)N2C(=NN=N2)C(C3=CC=C(C=C3)OC)N4CCC(CC4)N5C6=CC=CC=C6NC5=O,Active,53,,,=,16,1.66,1.421,"0,0,0,0,0,0,0,0,0,0",92.6491,72.941,61.1828,30.658,30.2277,-11.4468,-0.0101,-9.83155,4.18082,-1.08987,"0,0,0,0,0,0,0,0,0,0",90.0841,78.7127,52.1561,44.2661,15.6126,-1.08834,-9.30057,15.6873,-0.0383,6.26194
65,4256447,2961898,CCOC(=O)CCSC1=NC2=C(CCC2)C(=C1C#N)C(F)(F)F,Active,51,,,=,8.57,0.77,1.716,"0,0,0,0,0,0,0,0,0,0",95.3498,89.1941,73.9483,62.5216,36.166,-6.15939,9.91044,-6.60377,-5.20157,-8.69248,"0,0,0,0,0,0,0,0,0,0",96.4597,86.9393,77.0636,58.6305,38.8471,-2.86662,-3.5878,-7.93145,-6.34766,0.562964
66,24838298,3244444,CCN1C=C(C(=O)C2=C1C=CC(=C2)S(=O)(=O)N3CC(CC(C3)C)C)C(=O)NCC4=CC=CO4,Active,44,,,=,4.14,0.35,4.784,"1,0,0,0,0,0,0,0,0,0",,93.6033,89.837,77.8214,76.7567,-6.597,11.8347,9.37745,9.5301,12.1944,"1,0,0,0,0,0,0,0,0,0",,93.1295,87.9363,82.0126,71.4156,13.7557,11.1272,5.16196,-11.2146,-0.0561
67,14742931,4889367,CC1=CC2=C(C=C1Cl)C(=O)C=C(O2)C(=O)N(CC3=CC=C(C=C3)Cl)C4CCS(=O)(=O)C4,Active,55,,,=,12.9,2.05,1.051,"0,0,0,0,0,0,0,0,0,0",80.8762,71.6868,67.4306,44.3559,35.1715,-4.17611,14.7891,-4.43443,24.3511,-3.05664,"0,0,0,0,0,0,0,0,0,0",87.4825,80.6581,55.9155,49.632,28.7294,2.79082,-1.31689,30.0919,-2.36902,6.28658
68,14734497,9550606,CC1=CC=CC=C1NC2=C(C(=O)OC2OC(=O)C3=CC=CO3)Cl,Active,44,,,=,4.35,0.501,6.945,"0,0,0,0,0,1,0,0,0,0",90.0552,90.4565,90.4586,85.4899,73.3456,,-0.644953,1.47386,-0.816494,4.02671,"0,0,0,0,0,0,0,0,0,0",90.5166,90.3619,89.8347,89.6046,72.4191,-1.53206,-1.88111,-1.40047,-9.85386,8.64419
69,17411418,1486658,CC(C)CSC1=NC=C(C=N1)C2=CC(=CC=C2)C(F)(F)F,Active,50,,,=,14.2,1.53,1.709,"0,0,0,0,0,0,0,0,0,0",91.8195,80.7979,62.4999,38.5353,18.8283,-12.3766,-11.1557,-11.6928,-8.42594,-16.7667,"0,0,0,0,0,0,0,0,0,0",91.798,82.8732,63.3749,43.3982,19.1019,-7.55394,-8.79736,-8.52249,-10.9072,-11.1947
70,17414145,2936483,CCCOC1=CC=C(C=C1)NC(=O)CC2C(=O)N(C(=S)N2CC3=CC=CS3)CC,Active,53,,,=,10.9,0.92,1.456,"0,0,0,0,0,0,0,0,0,0",92.1719,82.0756,71.2901,52.4468,32.8593,-0.412667,-1.88529,-5.91888,-5.27992,-6.67083,"0,0,0,0,0,0,0,0,0,0",92.2606,80.5204,68.4054,48.0066,32.853,-2.91451,-1.71249,2.89425,-3.87959,-10.0694
71,17407651,1082744,COC1=C(C=C(C=C1)C2=CSC3=C2C(=O)OC(=N3)C4=CC=CC=C4F)OC,Active,55,,,=,6.25,0.87,1.363,"0,0,0,0,0,0,0,0,0,0",95.6837,84.9995,78.0303,61.6219,60.5387,-0.646407,4.43971,9.4889,2.39803,-0.563576,"0,0,0,0,0,0,0,0,0,0",94.4336,90.1236,83.0944,74.1327,45.6166,16.4614,3.08011,28.2391,4.25588,23.175
72,17516290,2362664,C1CN(CC2=CC=CC=C21)C(=O)COC(=O)C3=CC(=CC=C3)[N+](=O)[O-],Active,53,,,=,10.9,1.1,1.443,"0,0,0,0,0,0,0,0,0,0",89.4737,81.156,66.9274,54.5953,33.2373,-0.794239,-6.14062,-2.73504,-11.2205,-3.57414,"0,0,0,0,0,0,0,0,0,0",90.1133,81.7793,68.4757,50.8499,36.0698,-6.3281,-2.57036,-7.10587,-1.74915,-5.50951
73,17512077,12005588,CC1=CC=C(C=C1)C2=NO[C@H]3[C@@H]2[C@H]4C[C@@H]3[C@H]5[C@@H]4C(=O)N(C5=O)C6=C(C7=C(S6)CCCC7)C#N,Active,54,,,=,18.4,2.76,0.83,"0,0,0,0,0,0,0,0,0,0",68.3916,72.1613,57.2506,48.8255,21.5547,8.92252,24.9159,14.2669,1.45463,13.91,"0,0,0,0,0,0,0,0,0,0",83.5977,64.3416,46.0401,35.1095,17.0811,4.07392,3.36233,9.30179,20.1214,-0.184336
74,17516116,5104739,C1=CC=C(C=C1)C(=O)COC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])NCCO,Active,56,,,=,8.98,0.952,1.083,"0,0,0,0,0,0,0,0,0,0",85.2797,80.901,73.337,57.1435,44.0841,4.01151,14.3185,3.96729,8.24014,6.70231,"0,0,0,0,0,0,0,0,0,0",85.7927,82.2085,68.6167,55.7072,42.5054,7.87357,0.142202,9.24499,11.2256,10.9679
75,17508391,823709,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=CC=C(C=C2)CC3=CC=NC=C3,Active,54,,,=,10.5,1.49,1.427,"0,0,0,0,0,0,0,0,0,0",90.3842,83.0029,71.0419,50.5744,46.8653,-10.5313,7.12772,-5.18463,-14.0188,-17.567,"0,0,0,0,0,0,0,0,0,0",86.4721,79.664,64.6785,57.4175,29.8261,0.468828,-11.8787,-13.7443,0.31228,-1.96694
76,17509225,12004748,COC1=C(C=C(C=C1)C(=O)N/C(=C\C2=CC=CC=C2OC)/C(=O)NC3=CC(=CC=C3)[N+](=O)[O-])OC,Active,55,,,=,16,1.92,1.13,"0,0,0,0,0,0,0,0,0,0",77.3442,69.8076,62.7227,47.9192,16.0594,2.84653,-11.9269,-5.96917,2.68564,-0.880351,"0,0,0,0,0,0,0,0,0,0",77.9036,75.6241,62.8739,29.6515,28.467,5.69283,4.79963,15.3935,5.76994,15.3368
77,17506812,2269335,C1=CC(=CC(=C1)[N+](=O)[O-])/C=C/C(=O)NCCSCC2=C(C=C(C=C2)Cl)Cl,Active,56,,,=,9.88,1.11,1.183,"0,0,0,0,0,0,0,0,0,0",85.023,77.5334,65.294,54.5847,38.5835,5.81251,14.3689,1.32777,7.72359,4.47437,"0,0,0,0,0,0,0,0,0,0",88.5216,79.2438,69.9049,60.3517,42.9419,0.0783,-4.20293,-8.51206,-3.51775,2.24196
78,17514113,3773843,CN1C(=O)C(N(C1=S)CC2=CC=CS2)CC(=O)NC3=CC=C(C=C3)OC,Active,55,,,=,15.8,1.55,1.167,"0,0,0,0,0,0,0,0,0,0",84.1687,74.1581,54.5457,38.7159,26.2866,7.59423,0.978025,8.57095,4.20821,-7.60773,"0,0,0,0,0,0,0,0,0,0",82.5011,76.9882,56.8229,46.4079,16.4607,-10.1382,12.1768,4.33775,13.1401,0.525246
79,22413093,135401388,C1=CC=C(C=C1)C(=O)NCC(=O)N/N=C/C2=C(C=CC(=C2)Br)O,Active,53,,,=,10.2,2.46,0.669,"0,0,0,0,0,0,0,0,0,0",69.4396,72.2942,69.3458,58.3063,43.3017,8.06105,16.9169,-1.37801,27.3831,6.76858,"0,0,0,0,0,0,0,0,0,0",65.5387,72.1495,67.965,68.8405,36.9827,9.96558,5.40276,22.4979,14.9252,28.1025
80,22416663,1370973,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)/C=C/C3=CC(=CC=C3)[N+](=O)[O-],Active,45,,,=,4.93,0.429,2.545,"0,0,0,0,0,0,0,0,0,0",95.3278,91.3185,87.9385,75.6688,65.5259,-2.94219,-4.04647,-4.69237,5.80553,-7.54096,"0,0,0,0,0,0,0,0,0,0",93.455,92.6339,85.8151,78.9645,60.7715,6.95715,6.37211,11.6067,1.7076,11.4679
81,17511111,12005429,C1CCC(CC1)C2=NC3=CC=CC=C3C(=O)N2NC(=O)C4=C(C=C(C=C4)[N+](=O)[O-])Cl,Active,51,,,=,18.9,5.14,0.625,"0,0,0,0,0,0,0,0,0,0",52.8305,62.5723,60.48,51.8568,40.2229,4.29208,-1.74866,14.7131,-4.88384,-1.54578,"0,0,0,0,0,0,0,0,0,0",51.4097,59.538,61.1673,60.932,41.9646,8.20998,8.06166,3.31463,8.44729,17.9436
82,17510743,12005326,C1CCC(CC1)C2=NC3=CC=CC=C3C(=O)N2NC(=O)C4=CC(=C(C=C4)Cl)[N+](=O)[O-],Active,55,,,=,11.2,1.52,1.235,"0,0,0,0,0,0,0,0,0,0",90.9337,82.6566,61.4826,54.5007,28.9711,13.9037,-7.09013,20.3896,-2.67458,14.1254,"0,0,0,0,0,0,0,0,0,0",94.2696,78.8295,74.9736,40.4344,31.7413,-5.92216,22.4184,-4.52868,19.506,-3.61903
83,22410751,4884602,CCNC1=C(C=C(C=C1)S(=O)(=O)N(C)C)NCC(=O)NC2=CC(=C(C=C2)F)Cl,Active,53,,,=,18.2,1.93,1.322,"0,0,0,0,0,0,0,0,0,0",82.3823,75.1734,50.4068,40.644,15.6136,3.85962,-11.2653,10.4776,-4.04066,5.23858,"0,0,0,0,0,0,0,0,0,0",84.8687,69.4635,56.8048,30.7625,24.785,-12.7651,-3.9983,-11.598,2.46352,-8.28622
84,22413887,902188,COC1=CC=CC=C1C2=CC(=C(C(=O)O2)C#N)SC,Active,56,,,=,10.9,0.802,1.121,"0,0,0,0,0,0,0,0,0,0",90.5619,83.3309,65.4818,52.6525,37.3436,7.0274,3.00532,15.8076,3.63457,8.69448,"0,0,0,0,0,0,0,0,0,0",89.1365,80.6412,60.2187,50.1932,27.3004,9.8218,8.24478,5.3778,1.70501,4.73946
85,22408077,6904313,CC(C)(C)C1=CC=C(C=C1)/C=N/NC(=S)NC2CCCCC2,Active,55,,,=,15.4,1.81,1.142,"0,0,0,0,0,0,0,0,0,0",80.3974,74.4748,54.2441,50.1114,24.7064,3.91195,-4.63083,6.08951,-11.7094,-0.0407,"0,0,0,0,0,0,0,0,0,0",82.9228,69.2093,59.3304,40.171,34.9656,-5.03061,0.702275,-9.88561,0.444941,-10.7346
86,22412927,4650086,CCN1C=C(C(=N1)C(=O)N2C(CC(=N2)C3=CC=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-])[N+](=O)[O-],Active,55,,,=,13.2,1.73,1.004,"0,0,0,0,0,0,0,0,0,0",88.986,78.0191,64.3094,48.2991,36.7076,-5.68735,15.5619,2.04807,3.67164,10.0375,"0,0,0,0,0,0,0,0,0,0",86.6924,72.9364,52.4914,41.3112,26.3774,4.7851,16.7885,21.8459,12.7789,-4.01134
87,24812732,6622379,CC1CCN(CC1)C(=O)C2=CC3=C(C=C2)C(=C4CCCCC4=N3)Cl,Active,55,,,=,6.9,1.02,1.344,"0,0,0,0,0,0,0,0,0,0",94.3993,86.6899,76.2286,61.5262,46.0397,-8.60018,12.0164,21.6268,-1.51492,-7.83452,"0,0,0,0,0,0,0,0,0,0",90.1675,89.5259,75.6547,74.709,42.865,34.9052,-12.1029,16.1842,-8.11759,7.96819
88,24813126,4916250,C1CCC(CC1)CCC(=O)NC(CC(=O)O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active,56,,,=,8.7,1.27,1.056,"0,0,0,0,0,0,0,0,0,0",86.5455,83.7021,68.0734,61.9003,38.6824,6.10604,-4.11158,12.1642,14.3383,11.865,"0,0,0,0,0,0,0,0,0,0",87.2317,82.5808,69.4411,57.2688,49.4011,0.68284,19.1388,9.3224,12.3393,18.4221
89,24813735,4915883,COC1=CC(=C(C=C1)C(=O)NC(CC(=O)O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl)SC,Active,56,,,=,8.79,1.28,0.97,"0,0,0,0,0,0,0,0,0,0",89.0161,73.9941,74.5257,62.4887,37.3855,16.408,11.5003,13.3758,-4.40145,5.56997,"0,0,0,0,0,0,0,0,0,0",88.4126,81.7745,63.016,52.1663,50.7103,-5.20747,24.9366,8.94496,17.1305,-5.95883
90,24813493,1298897,C1COCCN1S(=O)(=O)C2=CC=C(C=C2)C3=CSC(=N3)C4=CN=CC=C4,Active,49,,,=,4.92,0.608,1.978,"0,0,0,0,0,0,0,0,0,0",96.5336,89.3927,84.911,72.5674,67.114,-6.48834,7.2143,-5.47343,17.7678,-6.25323,"0,0,0,0,0,0,0,0,0,0",93.814,93.7638,84.259,84.2446,57.9496,22.1434,9.72284,7.6221,-3.95001,26.4352
91,24820414,3702531,C1C2=CN=C(N=C2C3=CC=CC=C3O1)NC(=O)C4=CC(=CC=C4)[N+](=O)[O-],Active,55,,,=,13,2,0.948,"1,0,0,0,0,0,0,0,0,0",,60.6853,64.2663,53.2917,31.7013,12.3408,5.16089,10.6749,7.93547,-1.68317,"0,0,0,0,0,0,0,0,0,0",64.9995,80.7922,68.2958,46.6066,37.7702,-0.995084,5.08194,-9.01467,1.47145,11.3897
92,24826395,2508439,CC(C)(C)NC(=O)NC(=O)COC(=O)CC1=C(C=C(C=C1)Cl)Cl,Active,53,,,=,9.75,1.09,1.472,"0,0,0,0,0,0,0,0,0,0",95.437,85.3716,75.4507,53.3652,21.5909,-4.02558,-3.42155,8.18307,-3.21521,2.59993,"0,0,0,0,0,0,0,0,0,0",92.0616,83.8241,71.2161,56.8539,43.0784,-3.56583,15.2864,15.2106,16.966,-5.24392
93,24823455,135439747,C1=CC(=CC=C1NC(=O)CCC(=O)N/N=C/C2=C(C=CC(=C2)[N+](=O)[O-])O)F,Active,54,,,=,15.1,2.66,0.804,"0,0,0,0,0,0,0,0,0,0",67.0949,65.0757,61.1101,56.4871,33.5832,0.129443,6.0626,8.77516,1.29614,4.21314,"0,0,0,0,0,0,0,0,0,0",67.162,64.2167,61.7457,57.3359,36.1695,3.68954,-3.07753,14.2203,-0.365834,10.9881
94,24788345,2190685,CC1=C(SC(=S)N1C)C(=O)OCCOC2=CC=C(C=C2)Br,Active,57,,,=,5.67,0.978,1.045,"1,0,0,0,0,0,0,0,0,0",,85.1444,77.1825,74.5456,49.2738,19.805,18.3046,2.47436,20.1471,22.1693,"1,0,0,0,0,0,0,0,0,0",,89.4159,80.9872,64.51,57.7548,2.69697,14.5309,21.0572,13.1366,20.9764
95,24824214,5187457,C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=NN=C(O2)C3=CC=C(C=C3)F,Active,56,,,=,9.09,1.48,0.883,"0,0,0,0,0,0,0,0,0,0",84.7257,79.9706,65.0722,58.6362,47.4427,20.0625,1.39957,18.0495,12.5538,21.3636,"0,0,0,0,0,0,0,0,0,0",86.984,80.2354,67.3344,51.7996,37.172,0.807822,22.5249,1.69011,25.7066,-1.81882
96,24794088,2960665,C1COC2=C(O1)C=CC(=C2)NC(=O)CSC3=NC=C(C=C3)[N+](=O)[O-],Active,44,,,=,4.17,0.608,7.232,"0,0,0,0,0,0,0,0,0,0",84.3028,91.0262,88.955,85.5296,79.1571,-10.3571,1.08639,-11.6253,13.5616,11.6792,"0,0,0,0,0,0,0,0,0,0",91.6354,92.1541,88.8944,84.8752,78.9149,12.4903,27.9729,5.13692,2.33185,-11.4311
97,24819127,4264800,CC1=CC=C(C=C1)NC(=O)NC(CC(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-],Active,56,,,=,8.7,1.32,1.056,"0,0,0,0,0,0,0,0,0,0",88.2685,79.0828,74.2111,52.7225,52.3117,-3.34397,11.7922,-3.84707,10.8885,21.4589,"0,0,0,0,0,0,0,0,0,0",90.8466,76.8882,72.6214,52.7849,44.8462,13.8941,19.6812,-2.56649,-2.42466,17.1898
98,24784982,1310538,CC(=O)NC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2S(=O)(=O)C3=CC=C(C=C3)[N+](=O)[O-],Active,54,,,=,15.9,1.93,1.311,"0,0,0,0,0,0,0,0,0,0",77.3025,75.1375,58.7739,43.1764,23.425,-4.33605,-9.6836,-7.84881,-8.67885,-10.5726,"0,0,0,0,0,0,0,0,0,0",81.2848,74.1035,60.78,39.6399,27.7694,-8.96998,-7.33724,-7.588,-6.31904,-7.60154
99,24780416,948690,COC(=O)C1=CC=C(O1)COC2=C3C(=CC(=C2)[N+](=O)[O-])C=CC=N3,Active,55,,,=,11.6,1.47,0.919,"0,0,0,0,0,0,0,0,0,0",82.8198,75.6796,63.7499,48.2817,37.2065,0.0638,17.4807,-1.8466,6.23608,-5.47529,"0,0,0,0,0,0,0,0,0,0",78.6446,73.3887,68.3235,48.5427,34.6456,18.8008,3.51411,10.9922,13.5281,20.2796
100,24797629,135431552,C1=CSC(=C1)C2=C(C(=O)NC(=N2)SCC3=CC=C(C=C3)Cl)C#N,Active,57,,,=,5.61,0.742,1.192,"0,0,0,0,0,0,0,0,0,0",93.7327,90.8828,82.6555,65.6435,57.8281,2.50617,10.2508,22.0757,16.8887,2.6841,"0,0,0,0,0,0,0,0,0,0",93.2257,92.669,80.022,71.8544,54.5595,16.3155,12.3142,17.7203,18.1876,5.51075
101,26730307,2806956,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)NC3=NN=C(S3)C(F)(F)F,Inactive,41,,,=,23.5,4.48,0.553,"0,0,0,0,0,0,0,0,0,0",58.9342,60.1845,53.7033,19.9826,36.9703,16.9098,22.2387,19.843,17.1246,-2.73754,"0,0,0,0,0,0,0,0,0,0",63.8849,54.6523,60.0084,44.5308,30.1499,20.1632,16.0707,7.54827,-2.2238,3.33369
102,26660385,1420281,C1CCN(CC1)C2=NC3=CC=CC=C3C=C2/C=C\4/C(=O)NC(=S)S4,Active,50,,,=,11.2,1.26,1.802,"0,0,0,0,0,0,0,0,0,0",95.0648,88.4995,71.0084,47.1563,31.435,-13.8007,-10.6915,-13.2602,-9.47325,-12.0124,"0,0,0,0,0,0,0,0,0,0",94.093,87.6359,68.6682,49.445,27.6231,-6.58111,-14.3356,-7.70767,-11.9552,-5.57096
103,26669593,1839213,CC1=CC=CN2C1=NC(=C(C2=O)/C=C(\C#N)/C(=O)NCC3=CC=CO3)N4CCCCCC4,Active,55,,,=,9.53,2.12,0.781,"0,0,0,0,0,0,0,0,0,0",77.4203,67.2649,68.4161,67.4376,47.0085,-8.26313,18.7666,21.9088,15.297,-8.76796,"0,0,0,0,0,0,0,0,0,0",78.9126,68.5919,65.3668,63.8916,42.9978,22.0268,-7.06718,18.1772,20.4864,5.85092
104,26663227,3796366,CC1=CC2=C(S1)N=C(OC2=O)C3=CC=CC=C3Br,Active,57,,,=,8.01,1.22,1.095,"0,0,0,0,0,0,0,0,0,0",81.0146,81.3411,73.6811,56.3371,48.2775,24.1186,-0.90124,-9.28411,9.83246,27.6663,"0,0,0,0,0,0,0,0,0,0",79.5158,83.2288,76.0477,59.8718,48.4483,10.0497,3.12034,1.68583,-6.51524,13.8306
105,26729002,2746834,CC1=NC(=C(S1)C(=O)SC2=CC=CC=C2)C(F)(F)F,Active,53,,,=,10.3,1.1,1.455,"0,0,0,0,0,0,0,0,0,0",92.0631,82.007,73.6681,56.1799,38.0287,5.77593,-5.42505,-10.5876,-3.68568,-6.60647,"0,0,0,0,0,0,0,0,0,0",89.3747,76.1335,70.238,50.2284,35.3786,-10.1323,-4.88666,-3.01695,-1.57346,-3.48076
106,49667583,1343560,C1=CC=C(C(=C1)/C=C\2/C(=O)N(C(=S)S2)CCC(=O)NC3=CC=CC=C3C(=O)O)Cl,Active,55,,,=,5.37,0.416,1.47,"0,0,0,0,0,0,0,0,0,0",95.5023,91.6756,87.764,68.0208,54.1129,12.6692,16.5595,0.108642,-1.28428,-4.66828,"0,0,0,0,0,0,0,0,0,0",94.9907,92.861,84.653,72.1495,54.9707,23.8767,0.365107,18.7154,-3.12996,7.0715
