PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_Mean_Qualifier,IC50_Mean,IC50_Qualifier_1_Range1,IC50_1_Range1,Std.Err(IC50)_1_Range1,nH_1_Range1,Excluded_Points_first_point_Range1,% Activity at 66 uM_first_point_Range1,% Activity at 33 uM_first_point_Range1,% Activity at 16.5 uM_first_point_Range1,% Activity at 8.25 uM_first_point_Range1,% Activity at 4.125 uM_first_point_Range1,IC50_Qualifier_2_Range1,IC50_2_Range1,Std.Err(IC50)_2_Range1,nH_2_Range1,Excluded_Points_second_point_Range1,% Activity at 66 uM_second_point_Range1,% Activity at 33 uM_second_point_Range1,% Activity at 16.5 uM_second_point_Range1,% Activity at 8.25 uM_second_point_Range1,% Activity at 4.125 uM_second_point_Range1,IC50_Qualifier_1_Range2,IC50_1_Range2,Std.Err(IC50)_1_Range2,nH_1_Range2,Excluded_Points_first_point_Range2,% Activity at 66 uM_first_point_Range2,% Activity at 33 uM_first_point_Range2,% Activity at 16.5 uM_first_point_Range2,% Activity at 8.25 uM_first_point_Range2,% Activity at 4.125 uM_first_point_Range2,% Activity at 2.0625 uM_first_point_Range2,% Activity at 1.03125 uM_first_point_Range2,% Activity at 0.515625 uM_first_point_Range2,% Activity at 0.2578125 uM_first_point_Range2,% Activity at 0.1289062 uM_first_point_Range2
986,51088348,5308158,CC1=C(N=C(O1)C2=CC=C(C=C2)OC)CS(=O)CC(=O)NCC3=CC=CC=N3,Inactive,41,,,=,29.39,=,16.485,,1,"0,0,0,0,0",120.265,87.2694,63.9965,49.619,26.3461,=,7.546,,1,"0,0,0,0,0",91.3489,67.811,45.9773,29.2558,19.1378,=,27.525,,1.101,"0,0,0,0,0,0,0,0,0,0",128.851,100.095,60.9737,32.6637,20.7379,6.1371,-3.67108,1.56737,-2.44505,-5.00855
987,24835787,4321610,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)CSC(CC(=O)O)C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",24.6761,13.2799,11.4694,11.1498,13.2799,>,66,,,"0,0,0,0,0",21.3812,12.3824,16.6232,20.864,11.1411,,,,,,,,,,,,,,,
988,4257285,2954695,CCOC(=O)C1=CC=C(C=C1)NC(=O)CC2C(=O)N3C(=NC=N3)S2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.16766,9.44573,11.0433,10.1913,11.0433,>,66,,,"0,0,0,0,0",19.1056,17.5541,24.0705,16.2095,19.4159,,,,,,,,,,,,,,,
989,57266407,4962134,C1COCCN1S(=O)(=O)C2=CNC(=S)C=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.97248,13.0669,5.18549,4.22693,4.75946,>,66,,,"0,0,0,0,0",13.3133,11.8652,17.6576,7.10716,16.3129,,,,,,,,,,,,,,,
990,26664435,238013,C1=CC(=CC=C1NC2=NC(=NC(=C2)N)N)Br,Inactive,41,,,=,55.45,>,66,,,"0,0,0,0,0",42.3561,25.1021,19.2443,19.3508,17.4337,=,23.769,,1,"0,0,0,0,0",71.961,53.0324,38.9652,32.4488,20.7606,>,66,,,"0,0,0,0,0,0,0,0,0,0",76.3547,55.5123,39.574,33.221,23.1899,22.967,15.7224,15.0536,13.8276,10.9297
991,4258076,972599,C1=CC=C(C=C1)CC2=NN=C3N2N=C(S3)C4=CC=NC=C4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.1971,4.97248,8.70019,13.706,11.3628,>,66,,,"0,0,0,0,0",11.5549,16.3129,15.2785,9.89992,16.5198,,,,,,,,,,,,,,,
992,57257621,25161794,CCC1=NOC(=C1C(=O)N2CCN(CC2)S(=O)(=O)C3=CC=CC=C3C(F)(F)F)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.6824,6.88959,5.82453,8.38067,5.18549,>,66,,,"0,0,0,0,0",18.0713,8.03808,12.4858,10.9343,11.5549,,,,,,,,,,,,,,,
993,17503956,2788239,CC1=CC=C(C=C1)N2C(=O)CC(C2=O)SC3=CC=CC=C3C(=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.27417,10.5108,3.4814,9.55224,4.12043,>,66,,,"0,0,0,0,0",12.0721,16.2095,10.9343,13.727,13.8305,,,,,,,,,,,,,,,
994,4241950,3236863,COC1=CC(=C(C=C1)OC)S(=O)(=O)N2CCCCC2C(=O)N3CCN(CC3)C4=CC=CC=N4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.9132,4.33345,6.57007,6.67658,8.27417,>,66,,,"0,0,0,0,0",6.90029,8.34839,9.58961,7.00373,9.89992,,,,,,,,,,,,,,,
995,49823017,24818400,CCN(CC(=O)NCC1=CC=C(C=C1)Cl)C(=O)CNS(=O)(=O)C2=CC=C(C=C2)NC(=O)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.62433,9.38274,12.1755,9.48617,8.03808,>,66,,,"0,0,0,0,0",5.18549,7.95465,8.06116,6.25055,5.82453,,,,,,,,,,,,,,,
996,24802176,72146,COC1=C(C=CC(=C1)C(=S)N2CCOCC2)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",1.90128,4.74258,2.01057,5.83538,6.16322,>,66,,,"0,0,0,0,0",-11.9576,4.15931,-4.26784,0.999129,-4.26784,,,,,,,,,,,,,,,
997,49644536,761589,CC(=O)C1=C2C3=CC=CC=C3C(=O)C4=C2C(=CC=C4)N=C1Cl,Inactive,41,,,=,55.6,>,66,,,"0,0,0,0,0",42.1717,30.7938,25.1049,19.0022,14.4511,>,66,,,"0,0,0,0,0",18.1792,16.5816,10.1913,12.4279,11.5759,=,24.418,,3.496,"0,0,0,0,0,0,0,0,0,0",42.5834,36.8991,22.6327,19.8463,13.7161,24.3045,19.289,16.7255,13.1589,17.9515
998,4241958,3236871,CCN1C(=CC(=S)C2=CC=CC=C21)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.00373,18.1747,13.727,14.9682,23.1396,>,66,,,"0,0,0,0,0",9.76525,7.95465,8.70019,10.6173,9.97826,,,,,,,,,,,,,,,
999,17412325,867848,CC(=O)/C=C/1\N(C(=CS1)C2=CC=CC=C2)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",2.11985,0.1528,6.92818,4.41473,2.99409,>,66,,,"0,0,0,0,0",12.0597,8.47821,7.53017,8.47821,-0.896982,,,,,,,,,,,,,,,
1000,4249701,3243618,COC1=CC=CC=C1N2C(=C(SC2=S)C(=O)N)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.89812,11.8491,14.2719,15.2199,16.3787,>,66,,,"0,0,0,0,0",11.518,6.60034,11.9551,9.98803,13.0479,,,,,,,,,,,,,,,
1001,24781226,4405420,CC1CC(=O)N(C1=O)C2=CC(=C(C=C2)NC3=CN=C(C=C3)OC)[N+](=O)[O-],Inactive,41,,,=,48.38,>,66,,,"0,0,0,0,0",41.9761,23.8578,18.8015,16.168,11.8491,>,66,,,"0,0,0,0,0",20.2604,11.7365,6.2725,6.60034,7.9117,=,34.846,,1.895,"0,0,0,0,0,0,0,0,0,0",61.3081,45.8156,26.7566,22.5212,23.5243,15.388,13.0474,18.7317,19.5119,18.5088
1002,85304923,3124675,CCCN1C(=O)/C(=C\2/C=CC3=CC=CC=C3N2CC)/SC1=C(C#N)C#N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",25.1218,24.2791,10.3743,16.6947,9.74228,>,66,,,"0,0,0,0,0",3.10337,5.50754,4.30546,5.39826,16.6541,,,,,,,,,,,,,,,
1003,22407961,9668138,C/C(=N\NC(=S)NCC=C)/C1=CC(=CC=C1)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.3787,14.0612,12.9025,10.4797,8.37288,>,66,,,"0,0,0,0,0",7.47459,3.10337,6.60034,-2.90704,-2.57921,,,,,,,,,,,,,,,
1004,14740165,135457712,COC1=C(C=C(C(=C1)/C=C/2\C(=O)N/C(=N\S(=O)(=O)C3=CC=CC=C3)/S2)[N+](=O)[O-])OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",37.2359,30.2835,17.8534,21.0136,20.9083,>,66,,,"0,0,0,0,0",7.14674,7.3653,6.92818,5.61681,6.92818,>,66,,,"0,0,0,0,0,0,0,0,0,0",56.0696,36.3418,25.4191,8.58914,9.92661,1.56737,9.25788,8.14332,-0.773202,-3.89399
1005,14732664,9550266,CC1(N=C(C(=N1)SCC(=O)NC2=CC=CC=C2)C3=CC=C(C=C3)Cl)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.3758,18.8015,7.63549,15.852,12.5864,>,66,,,"0,0,0,0,0",12.6108,4.41473,7.47459,2.11985,4.30546,,,,,,,,,,,,,,,
1006,26726897,2801911,CCN(CC)C(=O)CSC1=NN=C2N1C3=C(C=C(C=C3)Cl)N=N2,Inactive,41,,,=,34.38,=,25.216,,1,"0,0,0,0,0",107.497,83.5852,59.2518,35.4451,22.1723,=,10.431,,1,"0,0,0,0,0",82.0037,57.7435,34.5761,21.1346,11.1901,=,35.895,,1.146,"0,0,0,0,0,0,0,0,0,0",129.631,100.652,66.4351,45.1469,25.4191,28.094,33.1096,25.5305,13.6047,11.2641
1007,24821033,1365818,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N3C(=C(SC3=O)C4=C5C=CC=CC5=NC4=O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.2733,14.9039,19.8549,18.3801,19.1175,>,66,,,"0,0,0,0,0",7.58386,10.6437,9.22307,18.5119,11.9551,,,,,,,,,,,,,,,
1008,24825898,3593490,CCOC(=O)C1=CC(=NC2=C1C(=NN2CCC(=S)N)C)C3=CC=C(C=C3)OC,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.2733,16.168,22.067,16.484,19.7495,>,66,,,"0,0,0,0,0",12.9386,18.2933,12.0643,9.22307,11.518,,,,,,,,,,,,,,,
1009,4249321,3243290,C1CC2=CC=CC=C2N(C1)CC3=C4C=CC=NC4=C(C=C3)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.0064,10.269,14.3772,7.21414,11.1117,>,66,,,"0,0,0,0,0",6.92818,4.96113,10.5344,1.02705,2.33841,,,,,,,,,,,,,,,
1010,22415219,1278518,C1CN(CCN1C2=CC=CC=N2)C(=O)NC3=CC4=C(C=C3)N=C(C(=N4)C5=CC=CO5)C6=CC=CO6,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",24.8058,18.3801,15.852,17.5374,15.852,>,66,,,"0,0,0,0,0",0.589923,6.70962,4.63329,3.86833,9.87875,,,,,,,,,,,,,,,
1011,14733403,5046151,CC1=CC2=C(N1C)C=CC(=C2)CNS(=O)(=O)C3=CC4=CC=CC=C4C=C3,Inactive,41,,,=,46.55,>,66,,,"0,0,0,0,0",30.2835,21.5403,14.0612,19.2228,12.9025,>,66,,,"0,0,0,0,0",9.66019,6.60034,2.22913,2.55697,6.2725,=,23.001,,1.555,"0,0,0,0,0,0,0,0,0,0",40.3542,25.9764,13.939,2.12466,-7.57205,-11.473,-8.12934,-5.90021,-8.2408,-9.80119
1012,26729908,5102388,C1=C(C=C(C(=C1[N+](=O)[O-])SC2=NNC(=N2)N)[N+](=O)[O-])C(F)(F)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",19.8549,21.9616,21.9616,13.2185,14.9039,>,66,,,"0,0,0,0,0",8.89522,7.14674,6.60034,12.72,6.16322,,,,,,,,,,,,,,,
1013,17433301,1259482,CC(C)(C)C(=O)NC(=S)NC1=CC=C(C=C1)S(=O)(=O)N(C)CC2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",18.2748,17.9587,19.6442,11.1117,17.8534,>,66,,,"0,0,0,0,0",11.9551,8.56739,6.60034,9.44163,8.23954,,,,,,,,,,,,,,,
1014,24816621,5183345,CCOC(=O)CNC(=O)CSC1=NC(=NS1)C2=CC=CC(=C2)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.05396,3.94862,7.53017,14.7986,4.89668,>,66,,,"0,0,0,0,0",2.77553,4.41473,9.98803,7.9117,11.6272,,,,,,,,,,,,,,,
1015,93576824,45479837,CCOC(=O)[C@H]1[C@H]2COC3=C([C@H]2N4[C@]1(C(=O)N(CC4=O)CC5=CC=C(C=C5)C)C)C=C(C=C3)Br,Inactive,41,,,=,49.1,>,66,,,"0,0,0,0,0",30.3142,24.1945,17.8562,8.02099,8.78595,=,54.695,,1,"0,0,0,0,0",46.4004,37.8679,26.7019,19.6442,16.5893,>,66,,1.49,"0,0,0,0,0,0,0,0,0,0",59.4133,45.0354,35.0043,28.7628,27.0909,-20.1666,31.1033,-56.6129,17.2828,25.5305
1016,85146976,44142812,C[C@]12[C@H]([C@H]3COC4=CC=CC=C4[C@@H]3N1C(=O)CN(C2=O)CC5=CC=C(C=C5)OC)C6=CC=CC=C6,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",18.2748,20.4869,14.7986,13.4292,15.852,>,66,,,"0,0,0,0,0",8.23954,9.76947,2.99409,3.75905,3.75905,,,,,,,,,,,,,,,
1017,99355962,4692848,C1=CC=C(C=C1)SC2=NNC(=O)NC2=S,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",17.9587,15.7466,14.2719,17.4321,18.6961,>,66,,,"0,0,0,0,0",3.32193,10.4252,10.3159,13.1572,9.66019,,,,,,,,,,,,,,,
1018,17508221,6885493,C1=CC(=CN=C1)C(=O)N/N=C/C2=CC(=C(O2)Br)Br,Inactive,41,,,=,44.27,>,66,,,"0,0,0,0,0",37.2359,28.0713,22.4884,9.32093,11.7437,>,66,,,"0,0,0,0,0",-10.3381,-8.48035,-5.9669,-0.940003,-0.50288,=,19.12,,1.605,"0,0,0,0,0,0,0,0,0,0",126.399,99.3147,66.5465,38.1251,15.7224,4.35379,4.01941,9.25788,12.3787,8.58914
1019,24784009,2187583,C1=CC=C(C(=C1)C(=O)NC(=S)NC2=C(C=CC(=C2)C(=O)O)Cl)[N+](=O)[O-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",13.4292,6.2661,14.3772,13.3238,9.32093,>,66,,,"0,0,0,0,0",15.6706,13.0479,6.05394,8.89522,8.34882,,,,,,,,,,,,,,,
1020,24826971,1391573,COC1=CC=CC(=C1OC)/C=C\2/C(=O)N(C(=S)S2)C3=CN=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.5331,11.0064,15.5359,12.1651,14.4826,>,66,,,"0,0,0,0,0",6.92818,8.34882,8.89522,7.9117,10.8623,,,,,,,,,,,,,,,
1021,24826895,2392581,CC1=CC(=NC(=N1)C(C)C)SCNC(=O)C2=CC=CC=C2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",20.5922,15.1146,15.4306,14.6932,16.6947,>,66,,,"0,0,0,0,0",5.50754,7.47459,9.11379,11.0808,7.47459,,,,,,,,,,,,,,,
1022,24788872,16189377,C1CSC2=[N+]1C(CN2C3=CC=CC=C3)(C4=CC=C(C=C4)Br)O.[Br-],Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",21.6456,14.4826,17.116,23.2257,20.8029,>,66,,,"0,0,0,0,0",10.3159,10.0973,7.03746,8.13026,6.92818,,,,,,,,,,,,,,,
1023,14724546,1116028,CC1=CC2=C(C=C1)N(C(C3=C2C(=S)SS3)(C)C)C(=O)C4=CC=CO4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.6918,22.067,8.47821,9.32093,19.3282,>,66,,,"0,0,0,0,0",7.80242,4.08689,5.17969,2.33841,3.10337,,,,,,,,,,,,,,,
1024,26668470,135402292,CCOC(=O)CCCCC(=O)C1=C(NC(=O)N1)CSC2=NC(=C(C(=O)N2)C#N)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",18.8015,20.9083,18.1694,20.4869,16.8,>,66,,,"0,0,0,0,0",11.4087,8.89522,9.0045,8.02099,6.70962,,,,,,,,,,,,,,,
1025,26666152,3000792,C1CC(OC1)N2C=NC3=C2NC=NC3=S,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",16.0627,17.2214,10.585,19.0121,16.6947,>,66,,,"0,0,0,0,0",1.57345,4.63329,2.77553,4.74258,9.98803,,,,,,,,,,,,,,,
1026,24818361,1482551,C1=CC(=C(C=C1Cl)Cl)COC2=C(SC=C2)C3=NC(=S)NN3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",7.53017,0.788438,9.42628,8.37288,7.84619,>,66,,,"0,0,0,0,0",-8.58962,-9.02675,-10.0103,-12.3052,-6.18545,,,,,,,,,,,,,,,
1027,26670750,3240283,C1CCC(CC1)NC(=O)CC2C(=O)N3C(=N2)C4=CC=CC=C4N=C3SCC(=O)NCC5=CC=CO5,Inactive,41,,,=,31.2,>,66,,,"0,0,0,0,0",39.603,27.91,20.3697,10.9716,1.68273,=,29.976,,1,"0,0,0,0,0",64.9401,52.0887,33.865,27.0179,15.4306,=,17.446,,1.174,"0,0,0,0,0,0,0,0,0,0",63.7601,46.8187,30.5461,10.4839,7.47457,-12.2532,-19.6094,-20.0552,-6.79186,-11.8074
1028,3714407,2998787,C1COC2=C(O1)C=CC(=C2)SCC(=O)N(CCC#N)C3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",12.2704,13.0078,14.0612,18.4855,19.5388,>,66,,,"0,0,0,0,0",10.3159,11.4087,10.0973,15.1242,9.44163,,,,,,,,,,,,,,,
1029,89852629,219926,C1=CC=C(C=C1)NC2=CC3=C(C=CC(=C3C=C2)S(=O)(=O)O)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.55061,3.83216,1.22244,-0.408631,0.678751,>,66,,,"0,0,0,0,0",8.60346,9.9443,1.38353,3.34323,-1.50443,,,,,,,,,,,,,,,
1030,26725886,3516533,C1=CC=C(C(=C1)C2C(C(=S)NC(=C2C#N)N)C(=O)N)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",14.0612,16.3787,13.3238,12.2704,15.3253,>,66,,,"0,0,0,0,0",8.02099,14.3592,9.22307,14.1407,9.76947,,,,,,,,,,,,,,,
1031,26667724,644470,CC1=C(C(C2=C(N1)CCCC2=O)C3=CC4=C(C=C3Br)OCO4)C(=O)OCCOC(C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",18.3801,10.7957,14.5879,10.7957,16.8,>,66,,,"0,0,0,0,0",5.50754,8.4581,2.99409,6.05394,6.05394,,,,,,,,,,,,,,,
1032,49676047,8900390,CN(C)C1=NC(=CS1)C2=CN(C3=CC=CC=C32)CCC#N,Inactive,41,,,=,56.95,>,66,,,"0,0,0,0,0",39.132,29.8621,18.5908,22.383,15.3253,>,66,,,"0,0,0,0,0",17.6377,15.0149,15.452,11.6272,11.9551,=,29.798,,2.028,"0,0,0,0,0,0,0,0,0,0",62.757,45.2583,32.9981,17.0598,15.0536,22.8556,13.2703,17.0598,17.5057,18.8431
1033,24830298,5103776,CC1=CC(=NC=N1)SC(C(Cl)(Cl)Cl)NC=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",10.269,11.1117,13.9559,19.0121,15.7466,>,66,,,"0,0,0,0,0",5.17969,5.94466,5.39826,7.80242,4.41473,,,,,,,,,,,,,,,
1034,24810118,135408458,CC1=CC=C(C=C1)C(=O)N=C2NC(=O)/C(=C/C(=O)OC)/S2,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.9544,21.751,19.9602,16.5893,15.852,>,66,,,"0,0,0,0,0",11.9551,8.78595,12.1736,6.60034,0.80848,,,,,,,,,,,,,,,
1035,89856016,224641,CC(C)NCCCC(C)NC1=CC(=C(C2=C1N=CC=C2)OC)OC.C(=O)(C(=O)O)O,Inactive,41,,,=,49.3,=,64.757,,1,"0,0,0,0,0",65.5721,51.246,30.2835,21.0136,10.4797,=,33.866,,1,"0,0,0,0,0",51.8424,30.8606,20.5882,11.9551,9.44163,>,66,,,"0,0,0,0,0,0,0,0,0,0",72.8995,46.2614,26.1993,8.03185,9.03496,-1.99923,-1.66486,-2.89089,-6.6804,-3.00233
1036,89854199,258743,CN1C2=CC=CC=C2C3=CC(=C(C=C31)N)N(C)C,Inactive,41,,,=,22.8,<,4.13,,,"0,0,0,0,0",40.396,38.1839,41.6601,42.9242,37.4465,>,66,,,"0,0,0,0,0",55.5579,66.5952,73.8077,68.5623,57.525,=,1.108,,1.813,"0,0,0,0,0,0,0,0,0,0",36.3418,54.5092,50.4968,56.8498,49.7166,33.4439,30.2117,19.5119,8.03185,11.487
1037,3715655,2999303,CC1=CC=CC=C1SCC(=O)NC2CCOC2=O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.26754,13.1131,10.0583,12.4811,18.2748,>,66,,,"0,0,0,0,0",4.41473,6.49106,9.87875,4.41473,5.83538,,,,,,,,,,,,,,,
1038,17386697,1820080,C=CCN1C(=O)/C(=C\C2=CC=C(C=C2)Cl)/N=C1SCC(=O)NC3CCCCC3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",4.58066,5.95008,-2.2664,4.15931,4.68601,>,66,,,"0,0,0,0,0",8.67667,7.03746,11.1901,-2.90704,5.39826,,,,,,,,,,,,,,,
1039,22416719,1348860,CC(=O)C1=CC(=CC=C1)NC(=S)NC(=O)C2=CC=C(C=C2)Br,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.94862,7.95152,4.15931,21.3296,9.74228,>,66,,,"0,0,0,0,0",11.1901,10.6437,9.5509,11.518,12.72,,,,,,,,,,,,,,,
1040,24799928,16191598,C1CC(CN(C1)CC2=NC(=NO2)C3=CC=CS3)OCC4=CC=CC=N4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.37288,5.10736,7.42482,2.7899,12.2704,>,66,,,"0,0,0,0,0",0.589923,7.9117,2.99409,12.5015,6.92818,,,,,,,,,,,,,,,
1041,14728098,9549720,CN1C[C@@H]2[C@H](C(C(C(=C2C=C1)C#N)N)(C#N)C#N)C3=CC=CC=C3,Inactive,41,,,=,58.88,>,66,,,"0,0,0,0,0",36.871,23.1017,17.7469,10.5344,8.13026,=,37.516,,1,"0,0,0,0,0",61.1479,45.2416,30.3888,19.0121,19.7495,>,66,,,"0,0,0,0,0,0,0,0,0,0",63.8716,50.6082,36.7876,21.8525,7.25166,20.1806,16.0567,8.14332,1.34446,0.00699
1042,26664994,369539,CN1C2=C(C=C(C=C2)OC)C3=C1C4=C(C=C3)C(=O)C=CC4=O,Inactive,41,,,=,58.45,>,66,,,"0,0,0,0,0",13.5345,28.7034,26.7019,30.5995,26.8073,>,66,,,"0,0,0,0,0",25.3966,26.8172,24.8501,27.4729,27.4729,>,66,,-1.665,"0,0,0,0,0,0,0,0,0,0",-30.8665,-14.3709,-10.0241,-6.23458,18.0629,2.23612,0.00699,1.79028,-0.550293,-3.22526
1043,49725838,3180430,CCOC1=CC=CC=C1N(C(C2=CC=CS2)C(=O)NC3CCCC3)C(=O)C4=C(C(=NS4)C(=O)N)N,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.16075,6.68745,15.0093,11.7437,8.16219,>,66,,,"0,0,0,0,0",-0.830724,5.39826,8.78595,0.699202,3.54049,,,,,,,,,,,,,,,
1044,26671393,1830592,COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)/C=C/C3=CC=C(C=C3)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",18.8015,13.9559,15.9573,20.3816,12.4811,>,66,,,"0,0,0,0,0",13.5943,11.0808,9.76947,9.76947,8.34882,,,,,,,,,,,,,,,
1045,26660364,16682079,C1=CC=C(C=C1)P(=O)(CSC(=N)N)C2=CC=CC=C2.Cl,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",11.8491,14.7986,12.7971,10.585,12.9025,>,66,,,"0,0,0,0,0",9.0045,8.13026,8.4581,1.46417,6.49106,,,,,,,,,,,,,,,
1046,57261199,16315329,C[C@@H](C(=O)N1CCN(CC1)C2=CC=CC=C2OC)NS(=O)(=O)C3=CC4=C(C=C3)OCCCO4,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",8.05686,4.26464,9.21559,11.9544,7.1088,>,66,,,"0,0,0,0,0",8.13026,8.89522,6.38178,8.67667,9.44163,,,,,,,,,,,,,,,
1047,26727581,2731492,CC1=CC(=NC(=C1)NC(=S)NC2=CC(=CC=C2)OC)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.89812,11.9544,4.05396,11.7437,11.3224,>,66,,,"0,0,0,0,0",15.1242,8.23954,9.33235,12.2829,2.88481,,,,,,,,,,,,,,,
1048,849509,652001,CC1=CC=C(C=C1)N(CC(=O)N)C2C(=O)N(C(=O)S2)CC3=CC=CC=C3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",15.3253,15.5359,16.484,21.9616,12.7971,>,66,,,"0,0,0,0,0",12.5015,9.87875,9.0045,10.0973,12.72,,,,,,,,,,,,,,,
1049,24807738,2867304,C1CCC(CC1)NC(=S)NCC(CO)O,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",17.4321,19.0121,9.53161,14.9039,18.1694,>,66,,,"0,0,0,0,0",12.72,9.44163,6.70962,7.69314,12.0643,,,,,,,,,,,,,,,
1050,24782418,2851029,CN(C)CCCN1C(=O)C2=C3C(=C(C=C2)Br)C=CC=C3C1=O,Inactive,41,,,=,29.3,=,47.821,,1,"0,0,0,0,0",89.6949,65.3615,46.7164,35.0237,18.9068,=,16.027,,1,"0,0,0,0,0",59.0549,43.2092,21.5717,13.7036,8.89522,=,30.253,,0.942,"0,0,0,0,0,0,0,0,0,0",106.894,81.2588,53.6176,23.7472,21.5181,0.452809,-4.33982,-4.56273,-13.2563,-4.1169
1051,49818503,24817438,CC(CSC)N1CCC(CC1)OC2=CC=CC(=C2)C(=O)NCC3=CC=CC=N3,Inactive,41,,,=,31.6,=,45.533,,1,"0,0,0,0,0",82.0051,64.7294,48.7178,28.4927,22.067,=,17.429,,1,"0,0,0,0,0",65.3931,35.5596,21.4625,19.1676,15.8892,=,27.142,,2.217,"0,0,0,0,0,0,1,0,0,0",92.6273,68.1069,46.15,21.4066,20.0692,31.6606,,12.1557,19.9577,29.9888
1052,3714719,5664087,C1=CC=C2C(=C1)N=C3C(=N2)N=CN3,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",3.94862,16.9054,13.4292,11.217,13.0078,>,66,,,"0,0,0,0,0",5.17969,5.17969,5.39826,8.89522,-0.940003,,,,,,,,,,,,,,,
1053,17513889,3254519,CC12CC3(CC(C1)(CC(C2)(C3)C(=O)NC(=S)NC(C)(C)C)C)C,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",14.5879,12.3758,14.5879,10.4797,16.168,>,66,,,"0,0,0,0,0",7.47459,8.02099,9.11379,5.39826,1.13632,,,,,,,,,,,,,,,
1054,24835714,135512221,C1CC(OC1)CN=C2NN=C(CS2)C3=C(C=CC(=C3)F)F,Inactive,41,,,>,66,>,66,,,"0,0,0,0,0",6.89812,10.1637,10.7957,15.7466,5.95008,>,66,,,"0,0,0,0,0",9.0045,7.69314,5.61681,6.92818,2.01057,,,,,,,,,,,,,,,
